Substancia,Valor_Medio_bruto,Valor_Medio_liquido,Maior_valor,Menor_valor
Fluocinolone acetonide,9.31,8.72,158.16,2.49
Fluocinonide,12.14,11.36,73.85,3.27
Fluocortolone,8.62,8.08,15.49,3.81
Fluorescein sodium,1.13,1.06,9.08,0.43
Fluorometholone,3.43,3.23,30.61,1.6
Fluorouracil (Sunscreen),91.45,85.54,2492.79,30.76
Fluoxetine hydrochloride,25.11,23.91,1153.28,0.06
Flupentixol decanoate,28.56,26.78,365.03,1.42
Flupentixol hydrochloride,6.46,6.21,97.3,0.21
Fluphenazine decanoate,288.27,269.56,964.61,5.76
Fluphenazine hydrochloride,48.64,45.5,70.32,20.68
Flurbiprofen,68.62,64.26,213.45,4.3
Flurbiprofen sodium,45.72,42.76,69.49,34.75
Flutamide,83.55,78.25,132.55,16.56
Fluticasone furoate,55.69,52.17,1255.08,6.02
Fluticasone furoate (Inhalation),293.02,274.07,10280.52,20.57
Fluticasone propionate (Inhalation),84.88,79.39,2514.14,3.74
Fluticasone propionate (Nasal),48.28,45.18,1849.15,3.04
Fluticasone propionate (Topical),7.22,6.76,51.55,2.13
Fluticasone propionate/azelastine hydrochloride (Nasal),59.98,56.13,1357.22,13.84
Fluvastatin sodium,10.4,9.77,179.59,0.22
Fluvoxamine maleate,31.44,29.51,220.06,0.65
Foam,13.35,12.54,19.97,5.11
Folic acid,11.43,11.24,1256.27,0.03
Fondaparinux sodium,298.51,279.17,704.58,29.47
Formaldehyde,6.19,5.81,16.45,0.24
Formoterol fumarate,46.45,43.45,666.54,22.21
Formoterol/glycopyrronium/budesonide,125.29,117.18,2164.32,41.61
Fosfomycin trometamol,16.07,15.06,318.53,4.54
Fosinopril sodium,7.0,6.57,29.21,1.33
Freeze sprays and gels,5.19,4.87,11.21,1.87
Fremanezumab,450.0,420.78,420.78,420.78
Frovatriptan,8.12,7.62,155.9,1.01
Fructose,270.0,252.48,252.48,252.48
Fulvestrant,595.55,556.88,976.97,244.35
Furosemide,10.62,10.42,668.3,0.02
Fusidic acid,27.74,25.99,446.39,1.8
Gabapentin,17.82,17.02,3899.82,0.03
Gabapentin (Neuropathic Pain),237.66,222.23,348.7,91.65
Galantamine,74.51,69.76,673.26,1.42
Galcanezumab,675.0,631.16,841.55,420.78
Gamolenic acid,34.03,31.94,425.37,0.53
Ganciclovir,29.51,27.61,224.33,18.69
Gauzes & Gauze Tissue,40.64,38.01,1281.97,0.27
Gemfibrozil,49.33,46.2,169.75,2.38
Gentamicin sulfate,45.99,43.03,354.75,1.29
Glibenclamide,61.45,57.47,122.97,0.94
Gliclazide,15.48,14.66,854.13,0.07
Glimepiride,3.06,3.06,200.88,0.22
Glipizide,4.75,4.48,37.75,0.28
Glten free /wheat/free /low/protein cooking aids,12.48,31.68,31.68,31.68
Glucagon,25.67,24.03,323.17,10.77
Glucosamine hydrochloride (Rheumatic),58.64,55.15,142.54,11.38
Glucose,15.56,14.57,308.01,0.16
Glucose and ketone blood testing reagents,95.16,89.0,89.0,89.0
Glucose blood testing reagents,69.09,64.64,3974.71,4.86
Glutaraldehyde,2.29,2.15,3.9,1.94
Gluten free breads,26.55,25.22,373.78,2.48
Gluten free mixes,25.8,24.29,304.44,4.43
Gluten free/low protein biscuits,16.83,15.75,118.53,2.31
Gluten free/low protein bread,14.32,13.52,172.8,2.61
Gluten free/low protein cereals,20.8,20.58,130.05,4.41
Gluten free/low protein drink,38.25,35.78,190.24,3.18
Gluten free/low protein grains/flours,12.1,11.55,112.22,5.23
Gluten free/low protein mixes,22.44,21.61,276.78,6.05
Gluten free/low protein pasta,14.58,14.21,152.4,2.07
Gluten free/wheat free grains/flours,8.53,9.58,34.66,3.66
Glycerol,7.97,7.5,206.04,0.24
Glyceryl trinitrate,31.4,29.44,594.49,1.23
Glycopyrronium bromide,223.17,208.73,6269.55,1.58
Glycopyrronium/formoterol,61.04,57.09,577.56,30.39
Golimumab,4577.82,4280.44,4280.44,4280.44
Gonadorelin,300.0,280.51,280.51,280.51
Goserelin acetate,367.95,344.08,13403.77,65.45
Granisetron,325.16,304.06,1466.16,52.37
Granisetron hydrochloride,157.6,147.43,457.82,15.37
Griseofulvin,62.1,58.15,878.24,6.02
Guaifenesin,5.81,5.46,29.42,1.9
Guanfacine,105.76,98.92,2350.15,2.07
Guanfacine hydrochloride,62.7,58.64,58.64,58.64
Haemophilus influenzae B/meningococcal C,45.02,42.11,70.66,35.31
Halogenated phenols with phenol,8.42,7.89,39.28,2.42
Haloperidol,120.78,113.05,4165.4,0.19
Haloperidol decanoate,15.82,14.87,95.05,3.56
Hamamalis,6.21,5.82,99.59,3.32
Hamamelis,4.42,4.15,17.15,2.14
Heparin calcium,157.34,147.15,250.78,41.81
Heparin flushes,24.63,23.05,251.8,1.4
Heparin sodium,86.61,81.01,425.16,15.44
Heparinoid,12.64,11.84,390.65,2.42
Hepatitis A,80.85,75.6,2558.94,13.78
Hepatitis A/hepatitis B,98.69,92.28,2616.27,19.44
Hepatitis A/typhoid vaccine,145.79,136.32,1471.23,33.44
Hepatitis B,29.19,27.3,3933.19,8.37
Hernia Support Garments,64.06,59.91,172.53,34.52
Hexetidine,5.02,4.72,24.61,1.37
Hexylresorcinol,3.23,3.03,3.03,3.03
Hexylresorcinol and benzalkonium chloride,1.74,1.64,1.64,1.64
House dust mites allergen extract,100.15,93.66,149.86,74.93
"Human papillomavirus (Type 6,11,16,18)",96.11,89.88,161.77,80.88
"Humpapvirus(Type 6,11,16,18,31,33,45,52,58)",170.0,158.97,490.96,98.18
Hydralazine hydrochloride,8.18,7.77,838.22,0.23
Hydrochlorothiazide,119.64,111.96,442.83,8.97
Hydrocort sodiumphos,21.13,19.77,184.99,0.46
Hydrocortisone,14.66,13.76,1893.45,0.19
Hydrocortisone (Sodium succinate),14.98,14.03,335.14,1.79
Hydrocortisone acetate,26.16,24.49,1704.48,2.71
Hydrocortisone butyrate,7.63,7.15,72.64,4.61
Hydrocortisone sodium phosphate,8.83,8.33,325.32,1.98
Hydrocortisone sodium succinate,4.75,4.49,102.92,0.86
Hydrogen peroxide,11.6,10.86,482.98,0.58
Hydromorphone hydrochloride,44.67,41.86,419.52,2.18
Hydroxocobalamin,33.11,31.23,1189.69,1.26
Hydroxycarbamide,17.33,16.53,1870.1,0.12
Hydroxychloroquine sulfate,9.07,8.74,897.78,0.15
Hydroxyzine hydrochloride,3.5,3.37,528.59,0.06
Hyetellose,29.8,27.88,293.57,0.55
Hyoscine,92.19,86.23,1925.63,6.13
Hyoscine butylbromide,13.74,12.96,449.28,0.16
Hyoscine hydrobromide,19.48,18.36,991.75,0.25
Hypromellose,25.16,23.54,317.0,0.89
INR blood testing reagents,114.74,107.3,3014.86,64.53
Ibandronic acid,86.94,81.33,2340.15,1.56
Ibuprofen,17.69,16.62,1310.73,0.07
Ibuprofen lysine,14.65,13.73,55.07,1.71
Ibuprofen sodium dihydrate,13.3,12.51,25.91,6.05
Ichthammol,86.6,80.99,132.66,29.32
Ileostomy Bags,194.67,182.05,9922.69,2.43
Imatinib mesilate,529.02,494.74,622.82,424.83
Imidapril hydrochloride,25.04,23.47,110.36,7.0
Imipramine hydrochloride,9.44,8.87,1870.09,0.31
Imiquimod,80.61,75.4,636.21,3.79
Inclisiran,76.05,71.12,565.71,51.43
Incontinence Sheath Fixing Strips & Adh,24.21,22.7,179.75,1.25
Incontinence Sheaths,85.61,80.1,1861.47,1.55
Indacaterol maleate,49.0,45.83,180.67,30.1
Indacaterol/glycopyrronium,145.21,135.83,3131.31,10.13
Indacaterol/mometasone,36.46,34.11,212.76,16.35
Indapamide,21.51,20.46,1197.19,0.1
Indometacin,5.0,4.7,691.5,0.23
Indoramin,113.09,105.85,969.31,1.36
Indwelling Pleural Cath Drain System,314.3,293.9,2605.41,14.22
Influenza,2776.42,2596.06,55006.37,7.48
Ingenol mebutate,65.0,60.79,60.79,60.79
Inhalation Solutions,32.99,30.88,353.53,0.31
Inosine pranobex,82.32,77.09,248.42,36.95
Ins degludec/liraglutide,212.02,198.3,2322.59,29.77
Insert For Female Stress Incont,60.9,58.74,598.43,8.21
Insulin Lispro,83.62,78.22,1212.29,4.25
Insulin aspart,128.86,120.53,2576.21,2.94
Insulin degludec,145.97,136.54,3007.37,8.71
Insulin detemir,138.31,129.37,2199.49,7.85
Insulin glargine,133.51,124.9,2990.45,5.61
Insulin glargine/lixisenatide,95.96,89.76,272.67,15.26
Insulin glulisine,68.24,63.84,714.8,5.29
Insulin human,446.75,417.78,1110.85,175.99
Iodine compounds,9.64,9.03,37.27,0.25
Ipratropium bromide,15.02,14.07,244.93,0.13
Irbesartan,9.48,8.98,310.81,0.15
Irbesartan with diuretic,27.45,25.7,268.22,3.07
Iron and folic acid,3.71,3.53,34.65,0.36
Iron carboxymaltose,95.5,89.41,89.41,89.41
Iron dextran,34.16,33.45,89.43,7.45
Iron sucrose,43.52,40.71,40.71,40.71
Irrigation Solutions,18.67,17.49,4997.32,0.17
Irrigation Washout Appliances,44.19,41.4,1895.32,1.59
Isocarboxazid,475.53,444.73,1397.53,58.23
Isometheptene mucate,13.36,12.52,44.1,3.94
Isoniazid,73.86,69.16,563.96,0.95
Isophane insulin,73.9,69.15,1603.91,3.68
Isopropyl alcohol,4.08,3.88,6.67,1.08
Isosorbide dinitrate,21.86,20.55,348.74,0.28
Isosorbide mononitrate,13.22,12.55,609.16,0.05
Isotretinoin,171.3,160.33,3339.56,0.45
Ispaghula husk,15.44,14.5,284.27,0.03
Itraconazole,14.84,13.96,919.87,0.3
Ivabradine,21.26,20.0,300.51,0.51
Ivermectin,50.75,47.47,3321.92,23.18
"Japanese encephalitis vaccine (Inactivated,adsorbed)",104.13,97.37,116.85,58.42
Jaw Rehabilitation Device,76.17,71.24,440.02,10.28
Ketamine,105.49,98.66,287.1,8.21
Ketamine hydrochloride,102.04,95.74,954.85,26.79
Ketoconazole,28.42,26.62,868.45,3.36
Ketone blood testing reagents,52.23,48.85,984.76,8.37
Ketoprofen,16.83,15.77,881.15,1.03
Ketorolac trometamol,5.95,5.58,138.06,1.11
Ketotifen fumarate,13.06,12.25,182.64,0.58
Labetalol hydrochloride,11.16,10.48,110.21,0.23
Lacidipine,16.79,15.8,1881.59,0.24
Lacosamide,143.44,134.19,1887.22,0.83
Lactic acid,503.92,471.2,471.2,471.2
Lactulose,21.55,20.36,849.38,0.12
Lamivudine,96.79,90.64,275.8,10.36
Lamotrigine,21.29,20.07,1425.08,0.01
Lanreotide,1047.79,981.68,5256.8,302.04
Lansoprazole,35.52,34.05,2693.78,0.03
Lanthanum carbonate,206.45,193.12,1086.08,36.2
Latanoprost,32.13,30.11,587.91,1.33
Latanoprost and timolol,21.1,19.75,265.11,2.1
Leflunomide,7.51,7.04,349.7,2.28
Leg Bags,60.41,56.51,4517.36,2.17
Lenograstim,601.65,562.59,562.59,562.59
Lercanidipine hydrochloride,69.07,64.8,5382.66,0.12
Letrozole,19.19,18.11,340.1,0.14
Leuprorelin acetate,537.3,502.43,18361.93,70.35
Levamisole hydrochloride,138.63,129.74,221.19,11.96
Levetiracetam,25.07,23.62,2142.75,0.03
Levobunolol hydrochloride,23.16,21.67,112.05,3.23
Levobupivacaine hydrochloride,28.2,26.37,26.37,26.37
Levocarnitine,875.88,821.2,16022.82,4.97
Levocetirizine,9.94,9.35,466.61,1.07
Levodopa/carbidopa/entacapone,79.67,74.61,622.09,0.44
Levofloxacin,28.9,27.09,200.64,0.94
Levomepromazine hydrochloride,33.29,31.23,489.7,1.88
Levomepromazine maleate,68.37,64.08,2773.73,0.56
Levonorgestrel,134.65,125.93,3703.16,0.14
Levothyroxine sodium,29.55,28.13,1851.34,0.03
Levothyroxine sodium and liothyronine,517.68,484.24,1802.79,4.68
Lidocaine,17.03,15.94,445.84,2.79
Lidocaine hydrochloride,44.33,41.48,3395.72,0.22
Lidocaine/prilocaine (Premature Ejaculation),59.99,56.11,56.11,56.11
Light liquid paraffin,10.84,10.15,173.94,2.51
Linaclotide,79.48,74.34,1124.24,35.12
Linagliptin,416.89,390.38,9955.76,1.11
Linagliptin/metformin,102.71,96.14,2333.38,6.78
Linezolid,674.76,631.0,3427.92,122.51
Lints,40.3,37.7,244.44,0.96
Liothyronine sodium,201.63,188.59,1710.47,8.03
Liquid paraffin,8.38,7.85,673.26,0.17
Liraglutide,232.2,217.18,3596.31,36.69
Lisdexamfetamine dimesylate,108.97,101.93,5261.67,1.94
Lisinopril,12.86,12.25,1441.0,0.03
Lisinopril with diuretic,7.09,6.67,149.45,0.2
Lithium carbonate,9.11,8.75,1090.45,0.08
Lithium citrate,21.42,20.15,114.49,1.75
Lixisenatide,102.08,95.47,758.35,27.09
Lodoxamide trometamol,8.1,7.59,43.96,4.87
Lofepramine hydrochloride,28.53,26.81,785.85,0.35
Loperamide hydrochloride,11.43,10.79,1184.3,0.08
Loperamide hydrochloride and simeticone,29.43,27.55,338.88,2.84
Loprazolam mesilate,38.44,36.01,233.27,1.18
Loratadine,6.69,6.45,158.92,0.07
Lorazepam,22.61,21.29,1119.28,0.07
Lormetazepam,28.02,26.3,248.35,1.78
Losartan potassium,57.99,54.55,1876.74,0.13
Losartan potassium with diuretic,22.52,21.1,687.16,0.88
Loteprednol etabonate,8.77,8.22,41.17,5.14
Low Friction Products,35.08,32.82,1531.72,1.81
Low protein biscuits,13.9,13.35,131.85,0.16
Low protein breads,31.4,31.38,424.17,2.22
Low protein cakes,12.59,12.72,258.67,5.94
Low protein cereals,22.32,21.08,164.4,8.23
Low protein cooking aids,17.25,16.15,127.81,8.25
Low protein desserts,16.36,16.5,244.06,2.38
Low protein grains/flours,19.68,19.61,101.56,8.83
Low protein meals,28.94,28.45,328.76,2.37
Low protein miscellaneous,14.01,16.19,91.06,6.56
Low protein mixes,26.37,25.93,698.49,3.38
Low protein pastas,19.62,18.52,326.54,3.24
Low protein risotto,27.72,25.95,49.38,6.28
Low protein snacks,22.56,21.71,230.07,1.08
Lubricant Gels,5.3,4.96,370.37,0.15
Lurasidone,73.99,69.28,1219.34,3.23
Lymecycline,34.84,32.65,513.67,0.28
Lymphoedema Garments,83.72,78.29,5699.67,0.0
Macitentan,2306.0,2156.21,2156.21,2156.21
Macrogol 3350,28.76,27.0,1493.91,0.13
Magnesium aspartate,53.53,50.16,1450.84,1.4
Magnesium carbonate,331.07,309.65,2087.25,74.65
Magnesium citrate,73.11,70.34,1107.96,1.73
Magnesium glycerophosphate,96.59,90.47,5267.49,0.93
Magnesium hydroxide,13.25,12.43,72.4,3.01
Magnesium lactate,467.45,437.38,4736.16,6.29
Magnesium oxide,143.74,134.51,888.53,4.89
Magnesium sulfate,5.67,5.35,187.63,0.18
Magnesium trisilicate,7.69,7.23,105.41,1.27
Malathion,18.9,17.69,150.68,9.42
Maltodextrin,25.62,23.97,534.11,1.91
Mannitol,231.66,216.62,216.62,216.61
"Measles, mumps and rubella vaccine",16.83,15.74,61.71,7.14
Mebendazole,1.99,1.91,105.26,0.21
Mebeverine hydrochloride,20.54,19.54,3349.09,0.09
Mebeverine hydrochloride compound preparations,47.57,44.52,493.92,4.54
Medicated stockings,46.7,43.71,519.33,3.24
Medroxyprogesterone acetate,26.18,24.55,1607.2,0.22
Mefenamic acid,42.33,39.64,1673.73,0.59
Mefloquine hydrochloride,23.92,22.48,77.0,5.21
Megestrol acetate,30.11,28.23,375.85,2.54
Melatonin,95.61,89.54,12598.7,0.48
Meloxicam,6.77,6.43,242.45,0.2
Melphalan,74.23,69.41,69.41,69.41
Memantine hydrochloride,11.74,11.21,1453.55,0.07
Menadiol sodium phosphate,94.52,88.51,472.42,2.22
Meningococcal A + C + W135 + Y vaccine,82.3,76.97,364.66,28.05
Meningococcal B vaccine,98.08,91.71,140.28,70.13
Menotrophin,604.89,565.67,1010.9,67.51
Menthol,20.21,18.91,238.2,0.73
Mepacrine hydrochloride,168.06,157.61,919.24,16.52
Mepivacaine hydrochloride,2.29,2.14,20.54,0.41
Meptazinol hydrochloride,43.38,40.72,765.3,0.3
Mepyramine maleate,3.09,2.91,8.89,2.0
Mercaptamine,333.57,311.92,710.65,65.47
Mercaptamine hydrochloride,1478.12,1382.11,5298.77,81.91
Mercaptopurine,28.64,26.94,2371.48,0.85
Meropenem,283.62,265.26,400.29,66.81
Mesalazine (Systemic),82.01,76.77,2101.41,0.67
Mesna,322.32,301.61,301.61,301.61
Metformin hydrochloride,32.21,30.43,2862.63,0.03
Metformin hydrochloride/pioglitazone,79.99,74.85,530.02,8.5
Metformin hydrochloride/sitagliptin,106.51,99.69,2706.72,0.66
Metformin hydrochloride/vildagliptin,67.23,62.97,1234.86,4.0
Methadone hydrochloride,36.91,35.27,8324.6,0.12
Methenamine hippurate,68.58,64.23,1728.27,0.52
Methocarbamol,27.9,26.24,591.67,0.23
Methotrexate,34.6,32.9,4015.86,0.12
Methoxy polyethylene glycol-epoetin beta,166.84,156.01,411.83,41.2
Methyl salicylate,6.46,6.06,112.97,1.65
Methyl salicylate/levomenthol,24.46,22.92,78.63,2.81
Methylcellulose,4.52,4.39,9.04,1.62
Methyldopa,54.71,51.25,987.32,1.46
Methylnaltrexone bromide,42.1,39.38,39.38,39.38
Methylphenidate hydrochloride,50.74,47.51,3641.54,0.21
Methylprednisolone,35.92,33.66,169.43,0.48
Methylprednisolone acetate,24.51,22.92,842.64,3.18
Methylprednisolone sodium succinate,1.78,1.66,2.95,1.48
Metoclopramide hydrochloride,10.13,9.55,1332.46,0.13
Metolazone,60.11,57.05,1167.08,1.04
Metoprolol tartrate,7.06,6.67,455.38,0.15
Metronidazole,12.3,11.59,888.35,0.18
Metyrapone,545.36,510.06,1523.59,95.21
Mexiletine hydrochloride,1445.63,1351.81,8415.45,123.67
Mianserin hydrochloride,65.48,61.28,254.45,17.48
Miconazole,8.51,7.98,70.58,3.91
Miconazole nitrate,6.29,5.91,175.97,1.7
Micro-Enema - Sodium Citrate,8.2,8.02,41.61,0.51
Midazolam hydrochloride,60.86,56.99,4293.72,0.54
Midazolam maleate,216.47,202.51,16157.49,9.92
Midodrine hydrochloride,50.86,47.71,593.75,0.4
Minocycline hydrochloride,20.16,18.9,97.94,1.56
Minoxidil,25.88,24.29,286.89,0.97
Mirabegron,124.51,116.68,2712.79,0.91
Mirtazapine,11.82,11.54,549.26,0.04
Misoprostol,15.01,14.12,105.27,0.63
Mitotane,298.44,279.11,552.59,5.64
Mizolastine,12.3,11.55,84.28,1.62
Moclobemide,52.35,49.06,247.98,1.42
Modafinil,15.6,14.67,1869.2,0.22
Mometasone furoate,30.95,29.01,998.96,3.1
Mometasone furoate/olopatadine hydrochloride,20.5,19.19,535.76,12.45
Mometasone/glycopyrronium/indacaterol,75.48,70.6,1123.66,41.61
Montelukast,13.58,12.93,483.18,0.04
Morphine hydrochloride,1492.52,1395.59,2787.82,3.35
Morphine sulfate,18.55,17.53,9765.58,0.07
Morphine tartrate and cyclizine tartrate,13.5,12.64,17.07,8.21
Moxifloxacin,36.14,33.89,171.13,7.64
Moxifloxacin hydrochloride,15.21,14.24,73.33,9.16
Moxisylyte hydrochloride,135.33,126.55,168.73,84.37
Moxonidine,22.07,20.71,686.6,0.38
Mupirocin,10.69,10.01,196.74,3.96
Mycophenolate mofetil,33.7,31.65,698.7,0.18
Mycophenolic sodium,146.43,137.19,904.38,0.87
Nabilone,726.71,679.63,1649.63,128.4
Nabumetone,20.12,18.87,348.33,2.67
Nadolol,15.71,14.74,430.48,0.71
Nafarelin acetate,98.92,92.51,294.17,49.02
Naftidrofuryl oxalate,16.93,15.91,376.04,0.2
Naldemedine,53.47,50.07,117.07,9.86
Nalmefene,100.27,93.8,317.36,19.94
Naloxegol,73.7,69.04,578.3,1.83
Naloxone hydrochloride,29.36,27.51,50.53,16.84
Naltrexone hydrochloride,108.82,101.92,2325.62,2.8
Naltrexone/bupropion,91.25,85.37,136.53,51.31
Nandrolone decanoate,12.68,11.87,35.58,2.98
Naphazoline hydrochloride,3.16,2.97,7.99,1.99
Naproxen,21.34,20.12,1506.5,0.04
Naratriptan hydrochloride,7.87,7.38,275.5,0.37
Nasal Products,7.91,7.42,2115.07,0.9
Nateglinide,52.24,48.86,48.86,48.86
Nebivolol,16.64,15.66,669.06,0.07
Nedocromil sodium,20.51,19.19,74.7,2.69
Nefopam hydrochloride,14.05,13.32,502.93,0.21
Neomycin sulfate,6.37,5.99,69.31,1.86
Neostigmine metilsulfate,93.0,86.97,86.97,86.97
Nepafenac,24.2,22.64,279.06,13.95
Nicardipine hydrochloride,10.98,10.35,46.9,0.86
Nicorandil,11.18,10.63,285.69,0.46
Nicotinamide,102.33,96.13,704.06,2.77
Nicotinates,3.83,3.59,10.81,1.81
Nicotine,46.56,43.56,1891.62,1.08
Nicotine bitartrate,23.25,21.78,136.47,3.31
Nifedipine,18.88,17.74,4161.68,0.23
Night Drainage Bags,30.25,28.32,5191.94,0.2
Nimodipine,54.33,50.92,168.46,10.58
Nirmatrelvir with Ritonavir,0.1,0.12,0.12,0.12
Nitrazepam,19.18,18.09,3654.89,0.21
Nitrofurantoin,55.9,52.72,2508.01,0.12
Nitrous oxide,407.16,384.11,384.11,384.11
Nizatidine,83.09,77.78,1343.61,4.27
Nonoxinol 9,17.11,16.01,61.72,10.29
Norethisterone,11.3,10.62,168.15,0.14
Normal immunoglobulin (Gamma globulin),109.0,101.92,129.04,74.8
Nortriptyline,8.09,7.74,1018.26,0.13
Nystatin,8.52,8.01,907.0,0.29
Octreotide acetate,825.91,773.18,2989.64,5.34
Oestrogens conjugated,4.99,4.73,37.65,0.36
Oestrogens conjugated with progestogen,8.83,8.29,48.82,0.62
Ofloxacin,36.61,34.33,605.15,2.03
Oils for the ear,2.91,2.74,10.44,2.08
Olanzapine,7.55,7.25,1242.64,0.1
Olanzapine embonate,459.91,430.07,1665.51,133.51
Olmesartan medoxomil,15.74,14.76,609.19,0.28
Olmesartan medoxomil/amlodipine,31.72,29.69,380.45,4.08
Olmesartan medoxomil/amlodipine/hydrochlorothiazide,30.23,28.33,285.39,4.08
Olmesartan medoxomil/hydrochlorothiazide,24.54,22.97,121.21,3.14
Olodaterol,37.3,34.89,98.6,24.64
Olopatadine,14.25,13.35,201.58,4.38
Olsalazine sodium,298.45,279.13,1265.89,17.06
Omalizumab,192.11,179.64,239.52,119.76
Omega-3-acid ethyl esters,52.82,49.44,319.63,3.33
Omeprazole,58.35,55.18,6163.86,0.03
Ondansetron hydrochloride,30.74,28.81,2242.23,0.19
Opicapone,146.24,136.83,702.47,8.89
Opium and morphine,2.42,2.28,8.01,0.92
Oral Film Forming Agents,57.49,53.78,855.48,0.68
Oral rehydration salts,13.42,12.61,2565.75,0.43
Orlistat,115.03,107.63,1490.89,2.29
Orphenadrine hydrochloride,274.26,256.5,1465.82,19.11
Oseltamivir phosphate,18.13,16.97,57.65,5.16
Ospemifene,59.56,55.71,147.76,36.93
Other Appliances,18.57,17.41,2760.23,0.03
Other amino acidandnutritional agent preparations,122.93,115.26,1946.98,1.44
Other antiperspirant preparations,25.3,23.67,43.02,4.31
Other antiviral preparations,5.53,5.18,8.88,1.49
Other barrier preparations,4.85,4.55,81.92,2.09
Other base/diluent/suspending agent/stabiliser preparations,66.17,61.9,1823.34,0.33
Other bisphosphonate and other preparations,30.89,28.94,71.56,17.9
Other calcium supplement preparations,35.39,33.13,179.87,4.11
Other camouflage preparations,23.94,28.84,251.61,6.43
"Other colour, flavour and sweetening preparations",23.41,21.91,29.59,14.8
Other compound vitamin/mineral formulation preparations,12.27,12.0,162.15,0.18
Other concentrated water preparations,62.82,58.76,484.34,10.47
Other cordial/soft drink preparations,70.71,66.13,409.78,1.47
Other digestive aid preparations,51.45,48.81,385.57,2.36
"Other disinfectant,preservative and sterilising preparations",7.42,6.95,6.95,6.95
Other eczema preparations,56.43,52.78,110.73,13.95
Other emollient preparations,31.24,29.27,2048.93,0.01
Other enzyme preparations 0911020,64.95,61.64,4476.97,2.3
Other expectorantand demulcent cough preparations,4.35,4.08,6.05,3.09
Other eye tear/lubricant/astringent preparations,16.03,15.06,1732.04,0.95
Other food for special diet preparations,170.85,159.82,7730.34,1.05
Other food preparations,172.54,161.35,2283.63,2.04
Other health supplement preparations,12.07,11.59,1094.01,0.07
Other homeopathic preparations,9.61,11.8,94.64,2.82
Other household and over the counter preparations,5.4,5.06,9.1,3.04
Other individually formulated bought in preparations,33.77,31.83,9634.64,0.0
Other lozenge and spray preparations,3.72,3.49,3.49,3.49
Other magnesium preparations,5.02,5.11,47.44,0.18
Other mineral formulation preparations,13.76,23.67,49.78,2.32
Other minor cut and abrasion preparations,2.35,2.21,2.21,2.21
Other miscellaneous topical preparations,15.09,21.41,114.96,3.77
"Other mouth wash, gargle and dentifrice preparations",8.25,7.73,26.84,1.83
Other multivitamin preparations,19.97,18.86,668.25,0.02
Other neuromuscularar transmisson preparations,1750.0,1636.33,1636.33,1636.33
Other non-opioid analgesic preparations,11.75,11.01,41.54,3.47
Other oil preparations,3.48,3.32,23.86,0.13
Other oral iron preparations,16.94,15.86,130.78,0.44
Other osmotic laxative preparations,26.1,24.44,186.0,11.62
Other otitis external preparations,221.58,207.2,1217.14,1.88
Other phosphate supplement preparations,24.51,23.05,1259.79,3.63
Other preparations,18.03,16.91,92.57,0.21
Other psoriasis preparations,7.69,7.23,15.22,3.04
Other purified water preparations,9.32,8.74,92.71,0.06
Other selenium preparations,13.8,14.25,331.4,0.48
Other shampoo and scalp preparations,42.32,39.59,79.9,24.41
Other single substance preparations,68.73,64.29,5886.63,0.45
Other soothing haemorrhoidal preparations,3.96,3.71,17.15,2.14
Other sunscreening preparations,17.32,16.32,299.61,0.99
Other test for helicobacter pylori preparations,40.76,40.12,412.96,18.71
Other tincture preparations,2.78,2.71,2.71,2.71
Other toiletry preparations,12.29,11.54,325.42,0.65
Other topical circulatory preparations,4.08,3.81,3.81,3.81
Other topical corticosteroid preparations,43.49,40.68,102.4,34.13
Other topical nasal decongestant preparations,2.4,2.25,4.01,2.01
Other treatment of dry mouth preparations,3.46,3.25,19.45,2.11
Other urological pain preparations,169.67,158.67,352.18,6.88
Other vaginal/vulva changes preparations,59.99,56.11,56.11,56.11
Other vitamin A preparations 0906011,13.9,13.66,45.58,1.91
Other vitamin B compound preparations,7.18,14.15,70.26,2.98
Other vitamin B preparations,409.01,382.5,5741.59,4.24
Other x-ray contrast media preparations,119.58,111.91,327.28,16.48
Other zinc preparations,5.46,15.24,92.19,0.95
Oxandrolone,489.69,457.91,763.0,113.06
Oxazepam,9.68,9.12,92.18,0.21
Oxcarbazepine,43.76,41.05,686.73,0.22
Oxitriptan,37.27,34.96,52.68,21.13
Oxybuprocaine hydrochloride,16.02,14.99,39.52,0.5
Oxybutynin,28.26,26.54,2008.9,0.05
Oxybutynin hydrochloride,433.2,405.07,405.07,405.07
Oxycodone hydrochloride,39.96,37.45,4719.37,0.21
Oxycodone hydrochloride/naloxone hydrochloride,87.21,81.59,474.89,3.53
Oxytetracycline,10.32,9.68,143.37,0.32
Padimate O,6.54,6.12,6.12,6.12
Paliperidone,476.35,449.25,2349.36,22.85
Pancreatin,110.04,102.96,4241.37,0.23
Pantoprazole,7.4,7.05,572.94,0.04
Paracetamol,37.74,35.59,2883.69,0.02
Paracetamol and caffeine,18.11,17.02,34.33,2.24
Paracetamol and ibuprofen,14.4,13.5,33.79,2.42
Paracetamol and phenylephrine hydrochloride,3.03,2.88,3.73,2.06
Paracetamol combined preparations,20.43,19.16,122.58,1.64
Paraffin hard,5.9,5.52,7.35,3.69
Paraffin soft white,5.43,5.1,67.84,0.34
Paraffin soft yellow,102.84,96.18,1195.68,0.13
Paraldehyde,57.24,53.54,363.61,10.81
Parecoxib sodium,75.4,70.54,148.52,23.3
