Prescriber,Substancia,Quantidade
DR R KAPUR & PARTNERS,Atorvastatin,346
DR R KHANCHANDANI'S PRACTICE,Atorvastatin,704
DR RAHIL'S SURGERY,Lansoprazole,329
DR RAOLU'S PRACTICE,Atorvastatin,402
DR RAPID COMMUNITY RESPONSE SERVICE,Ibuprofen,1
DR RASOOL,Atorvastatin,369
"DR RK KUKAR, PARKVIEW CTR FOR H&W",Atorvastatin,144
DR ROBINSON & PARTNERS,Omeprazole,556
DR RS DURSTON'S PRACTICE,Atorvastatin,799
DR S HUSSAIN,Atorvastatin,356
DR S M CHEN & PARTNER,Atorvastatin,443
DR S MORCOS,Colecalciferol,230
DR S PHILLIPS AND DR M PATEL PRACTICE,Atorvastatin,326
DR S SHAFI,Colecalciferol,270
DR SALAKO AND PARTNERS,Atorvastatin,796
DR SANOMI,Atorvastatin,313
DR SEABROOK,Atorvastatin,440
DR SEGARAJASINGHE,Atorvastatin,182
DR SHANTIR PRACTICE,Atorvastatin,179
DR SHARMA & PARTNERS,Atorvastatin,368
DR SIMS AND PARTNERS,Atorvastatin,1155
DR SINGH M,Atorvastatin,399
DR SINHA & PARTNERS,Atorvastatin,998
DR SINHA & TAHIR,Atorvastatin,633
DR SIVANESAN & PARTNER,Atorvastatin,742
DR SJC CLAY'S PRACTICE,Atorvastatin,235
DR SN CLAY AND PARTNERS,Atorvastatin,643
DR SOLWAY & DR MALLICK PRACTICE,Omeprazole,226
DR SOOD'S PRACTICE,Atorvastatin,127
DR SOORIAKUMARAN,Atorvastatin,308
DR SP TALPAHEWA,Atorvastatin,156
DR SPENCER & PARTNERS,Atorvastatin,1547
DR ST PIERRE-LIBBERTON,Atorvastatin,679
DR STEPHENSON & PARTNERS,Atorvastatin,1453
DR SUGUMAR AND PARTNER,Atorvastatin,328
DR SUMIRA,Atorvastatin,313
DR SZ HAIDER'S PRACTICE,Atorvastatin,389
DR T KRISHNAMURTHY,Atorvastatin,441
DR T P FOX & PARTNERS,Atorvastatin,1323
DR THORNILEY-WALKER & PARTNERS,Atorvastatin,644
DR TUN & PARTNERS,Omeprazole,614
DR U AKBAR,Atorvastatin,87
DR U K ROY,Amlodipine,161
DR UI HAQUE N,Atorvastatin,366
"DR UPPAL & PARTN, PARKVIEW CTR FOR H&W",Atorvastatin,599
DR VARDHAN'S SURGERY,Atorvastatin,260
DR VASANTH,Omeprazole,183
DR VM PATEL,Atorvastatin,256
DR WALJI AND COLLEAGUES,Lansoprazole,210
DR WEBB AND PARTNERS,Atorvastatin,254
DR WHM MATTA'S PRACTICE,Omeprazole,347
DR WONG AND PARTNERS,Omeprazole,634
DR YADAVA N PRACTICE,Atorvastatin,431
DR YASIN SA PRACTICE,Atorvastatin,485
DR. J BARRELL & PARTNERS,Atorvastatin,1758
DRAYTON MEDICAL PRACTICE,Lansoprazole,1839
DRONFIELD MEDICAL PRACTICE,Atorvastatin,919
DROYLSDEN MEDICAL PRACTICE,Atorvastatin,394
DROYLSDEN RD FAMILY PRACTICE,Atorvastatin,852
DRS ADEY AND DANCY,Atorvastatin,257
DRS HANIF &  BANNURU,Atorvastatin,491
DRS LAMBERT & NG,Lansoprazole,620
DRS MIRZA SUKHANI & PARTNERS,Atorvastatin,350
DRS RAUT AND THOUFEEQ,Atorvastatin,509
DRS SHAH & TALPUR,Atorvastatin,567
DRS. PALACIN & GUYLER,Atorvastatin,395
DRUG AND ALCOHOL ACTION TEAM,Methadone hydrochloride,3055
DRUID GROUP - EMC SURGERY,Atorvastatin,815
DRUIDS HEATH SURGERY,Atorvastatin,676
DRYBROOK SURGERY,Atorvastatin,478
DRYLAND MEDICAL CENTRE,Atorvastatin,1400
DUCHESS OF KENT HOUSE,Morphine sulfate,6
DUCHY HOSPITAL,Diazepam,5
DUDDON VALLEY MEDICAL PRACTICE,Atorvastatin,393
DUDLEY COMMUNITY PALLIATIVE MEDICINE,Enteral nutrition,5
DUDLEY COMMUNITY SERVICES,Wound Management & Other Dressings,187
DUDLEY RESPIRATORY SERVICE,Co-amoxiclav (Amoxicillin/clavulanic acid),1
DUDLEY URGENT CARE CENTRE OOH,Flucloxacillin sodium,395
DUDLEY WOOD SURGERY,Atorvastatin,261
DUKE MEDICAL CENTRE,Lansoprazole,513
DUKE STREET SURGERY,Omeprazole,828
DUKINFIELD MEDICAL PRACTICE,Atorvastatin,918
DUNCAN STREET PRIMARY CARE CENTRE,Atorvastatin,900
DUNCHURCH SURGERY,Omeprazole,378
DUNELM MEDICAL PRACTICE,Atorvastatin,1659
DUNROBIN STREET MEDICAL CENTRE,Atorvastatin,716
DUNSTAN VILLAGE GROUP PRACTICE,Colecalciferol,741
DUNSTER & PORLOCK SURGERIES,Omeprazole,969
DUNSVILLE MEDICAL CENTRE,Atorvastatin,706
DURHAM 0-19 HCP,Emollients,5
DURHAM DALES EAST DERMATOLOGY,Emollients,8
DURHAM DALES VAWAS,Amoxicillin,32
DURHAM DALES WEST DERMATOLOGY,Stockinette,9
DURNFORD DERMATOLOGY CATS,Isotretinoin,63
DURNFORD MEDICAL CENTRE,Atorvastatin,1062
DVT CLINIC (ER PATIENTS),Apixaban,6
DVT SERVICE,Apixaban,14
DVT/PCAU SERVICE,Diazepam,1
DYKES HALL MEDICAL CENTRE,Atorvastatin,782
DYNELEY HOUSE SURGERY,Atorvastatin,1428
DYSART SURGERY,Atorvastatin,453
E & N BIRMINGHAM PCT'S OOH SERVICE,Amoxicillin,25
E HARLING & KENNINGHALL MEDICAL PRACTICE,Atorvastatin,757
E/N HERTS AIVHS,Amoxicillin,25
E12 HEALTH,Atorvastatin,1649
E12 MEDICAL CENTRE,Atorvastatin,671
EAGLE HOUSE SURGERY,Atorvastatin,1314
EAGLESCLIFFE MEDICAL PRACTICE,Atorvastatin,902
EALING ADULT LEARNING DISABILITY,Clozapine,6
EALING CONTRACEPTIVE & SEXUAL HEALTH,Desogestrel,109
EALING GP ACCESS CENTRES,Amoxicillin,99
EALING PARK HEALTH CENTRE,Atorvastatin,682
EALING TRI-BOROUGH PERINATAL MH SERVICE,Amitriptyline hydrochloride,2
EARL MOUNTBATTEN HOSPICE,Morphine sulfate,16
EARLE ROAD MEDICAL CENTRE,Atorvastatin,342
EARLS BARTON MEDICAL CENTRE,Atorvastatin,696
EARLS COURT MEDICAL CENTRE,Atorvastatin,428
EARLS COURT SURGERY,Atorvastatin,218
EARLSFIELD SURGERY,Atorvastatin,779
EARLY INTERVENTION IN PSYCHOSIS (PHARM),Sertraline hydrochloride,4
EARLY INTERVENTION NORTH SERVICE,Olanzapine,2
EARLY INTERVENTION TEAM - COVENTRY,Aripiprazole,13
EARNSWOOD MEDICAL CENTRE,Atorvastatin,1471
EAST & WEST BASILDON PCN ACCESS HUB,Amoxicillin,132
EAST ALLIANCE NMPS (ALLINGTON CLINIC),Wound Management & Other Dressings,4
EAST ALLIANCE NMPS (BLUEBIRD LODGE),Amoxicillin,6
EAST ALLIANCE NMPS (SHOTLEY SURGERY),Beclometasone dipropionate,1
EAST ALLIANCE NMPS (STOW LODGE CENTRE),Arm Sling/Bandages,1
EAST BANK MEDICAL CENTRE,Atorvastatin,574
EAST BARNET HEALTH CENTRE,Atorvastatin,707
EAST BARNWELL HEALTH CENTRE,Atorvastatin,588
EAST BEDFORD PCN,Nasal Products,3
EAST BERKS PRIMARY CARE OOH(WAM),Amoxicillin,423
EAST BRIDGFORD MED CENTRE,Atorvastatin,856
EAST CHESHIRE COMMUNITY NMPS,Wound Management & Other Dressings,1056
EAST CLIFF MEDICAL PRACTICE,Atorvastatin,849
EAST COAST COMMUNITY HEALTHCARE,Lymphoedema Garments,13
EAST COWES MEDICAL CENTRE,Atorvastatin,736
EAST CROYDON MEDICAL CENTRE,Atorvastatin,661
EAST DURHAM MEDICAL GROUP,Atorvastatin,2999
EAST ELMBRIDGE PCN (SDH&C),Amoxicillin,1
EAST END MEDICAL CENTRE,Atorvastatin,1158
EAST ENFIELD PRACTICE,Atorvastatin,689
EAST FINCHLEY MEDICAL CENTRE,Atorvastatin,340
EAST HILL SURGERY,Atorvastatin,875
EAST HULL FAMILY PRACTICE,Lansoprazole,3816
EAST KENT ALLIANCE UTCS,Amoxicillin,390
EAST KENT DRUG AND ALCOHOL SERVICE,Methadone hydrochloride,1319
EAST KENT HEADACHE SERVICE,Zolmitriptan,5
EAST LANCASHIRE ALLIANCE,Amoxicillin,114
EAST LANCASHIRE HOSPICE,Octreotide acetate,3
EAST LANCS MEDICAL SERVICE OOH,Amoxicillin,603
EAST LEICESTER MED PRACT(S LONGWORTH),Atorvastatin,899
EAST LINDSEY GP EXTENDED ACCESS HUB,Hydrocortisone,4
EAST LINDSEY MEDICAL GROUP,Atorvastatin,1908
EAST LYNNE MEDICAL CENTRE,Atorvastatin,1027
EAST MIDLANDS MEDICAL SERVICES,Latanoprost,3
EAST NORFOLK MEDICAL PRACTICE,Atorvastatin,2143
EAST NORWICH MEDICAL PARTNERSHIP,Atorvastatin,1056
EAST PARADE SURGERY,Atorvastatin,354
EAST PARK MEDICAL CENTRE,Atorvastatin,766
EAST PARK MEDICAL CENTRE (RP PANDYA),Atorvastatin,1021
EAST PARK MEDICAL PRACTICE,Atorvastatin,632
EAST PARK PRACTICE,Atorvastatin,745
EAST QUAY MEDICAL CENTRE,Omeprazole,1446
EAST RIDING PARTNERSHIP,Methadone hydrochloride,651
EAST SHORE PARTNERSHIP,Omeprazole,869
EAST SUSSEX DERMATOLOGY SERVICE,Isotretinoin,74
EAST TREES HEALTH CENTRE,Atorvastatin,822
EAST WING PRACTICE,Lansoprazole,542
"EASTBOURNE, HAILSHAM & SEAFORD OOH",Morphine sulfate,8
EASTBURY SURGERY,Atorvastatin,670
EASTCOURT LANE SURGERY,Atorvastatin,132
EASTERN CHESHIRE OOH SERVICE,Amoxicillin,94
EASTFIELD HOUSE SURGERY,Atorvastatin,931
EASTFIELD MEDICAL CENTRE,Atorvastatin,925
EASTGATE MEDICAL GROUP,Atorvastatin,988
"EASTGATE MEDICAL GROUP, HORNSEA",Atorvastatin,1911
EASTGATE SURGERY,Atorvastatin,177
EASTHAM GROUP PRACTICE,Atorvastatin,1235
EASTHAMPSTEAD SURGERY,Atorvastatin,327
EASTLANDS MEDICAL CENTRE,Atorvastatin,597
EASTMEAD AVENUE SURGERY,Atorvastatin,482
EASTMOOR HEALTH CENTRE,Atorvastatin,270
EASTVIEW SURGERY,Atorvastatin,574
EASTWICK PARK MED.PRACT.,Atorvastatin,428
EASTWOOD GROUP PRACTICE,Atorvastatin,1007
EASTWOOD PRIMARY CARE CENTRE,Atorvastatin,1999
EATING DISORDERS,Enteral nutrition,10
ECARE MEDICAL EYE (CASUALTY) CLINIC,Dexamethasone,19
ECCLESFIELD GROUP PRACT,Atorvastatin,1153
ECCLESHILL VILLAGE SURGERY,Atorvastatin,590
ECCLESTON MEDICAL CENTRE,Lansoprazole,287
ECH OPD,Betamethasone sodium phosphate,2
ECH WARD,Bisoprolol fumarate,2
ED CLINIC,Nonoxinol 9,1
EDEN COURT MEDICAL PRACTICE,Atorvastatin,787
EDEN MEDICAL GROUP,Atorvastatin,1016
EDEN PARK SURGERY,Atorvastatin,270
EDEN SURGERY,Atorvastatin,243
EDENBRIDGE MED PRACTICE,Atorvastatin,1003
EDENFIELD ROAD SURGERY,Atorvastatin,793
EDGE HILL HEALTH @ MOSSLEY HILL SURGERY,Atorvastatin,141
EDGE HILL HEALTH CENTRE,Atorvastatin,780
EDGWARE WIC,Phenoxymethylpenicillin (Penicillin V),53
EDGWICK MEDICAL CENTRE,Metformin hydrochloride,140
EDGWORTH MEDICAL CENTRE,Omeprazole,208
EDITH CAVELL PRACTICE,Atorvastatin,859
EDLESBOROUGH SURGERY,Atorvastatin,989
EDLINGTON HEALTH CENTRE PRACTICE,Lansoprazole,513
EDWIN HOUSE IPDU,Acamprosate calcium,8
EGERTON/DUNSCAR HEALTH CENTRE,Omeprazole,275
EGREMONT MED CTR,Atorvastatin,379
EGTON SURGERY,Atorvastatin,300
EHSB EXTENDED ACCESS SERVICE,Glucose blood testing reagents,1
EI SOUTH SERVICE,Olanzapine,4
EIDS,Donepezil hydrochloride,18
EIGHTLANDS SURGERY,Atorvastatin,869
ELBOROUGH STREET SURGERY,Colecalciferol,204
ELBURY MOOR MEDICAL CENTRE,Omeprazole,825
ELDENE SURGERY,Atorvastatin,861
ELEANOR CROSS HEALTHCARE,Ramipril,1263
ELFT CHSB CARDIOLOGY NURSING,Bisoprolol fumarate,7
ELFT CHSB COMMUNITY NURSING,Skin Fillers And Protectives,5
ELFT CHSB COMPLEX CARE TEAM,Hydrocortisone,25
ELFT CHSB MACMILLAN NURSING,Morphine sulfate,13
ELFT CHSB MATRONS,Amoxicillin,2
ELFT CHSB NEUROLOGY NURSING,Co-careldopa (Carbidopa/levodopa),3
ELFT CHSB PODIATRISTS,Other Appliances,2
ELFT CHSB TISSUE NURSES,Wound Management & Other Dressings,9
ELGAR HOUSE,Atorvastatin,698
ELGIN CLINIC,Atorvastatin,423
ELHT NMPS,Lymphoedema Garments,468
ELIZABETH AVENUE GROUP PRACTICE,Atorvastatin,301
ELIZABETH HOUSE MEDICAL PRACTICE,Atorvastatin,273
"ELIZABETH WARD - VICTORIA HOSPITAL, DEAL",Amoxicillin,22
ELLENBROOK MEDICAL CENTRE,Atorvastatin,283
ELLENOR HOSPICE,Buprenorphine,2
ELLERGREEN MEDICAL CENTRE,Atorvastatin,926
ELLIOTT HALL MEDICAL CTR.,Atorvastatin,815
ELLIOTT STREET SURGERY,Omeprazole,513
ELLIS PRACTICE,Atorvastatin,731
ELLISON VIEW SURGERY,Atorvastatin,952
ELM HAYES SURGERY,Atorvastatin,745
ELM HOUSE SURGERY,Atorvastatin,785
ELM LANE SURGERY,Atorvastatin,665
ELM LODGE SURGERY,Atorvastatin,387
ELM SURGERY,Omeprazole,920
ELM TREE SURGERY,Atorvastatin,2027
ELMBANK SURGERY,Atorvastatin,686
ELMHAM SURGERY,Atorvastatin,2294
ELMS MEDICAL PRACTICE,Atorvastatin,705
ELMSTEAD MEDICAL CLINIC,Influenza,420
ELMSWOOD SURGERY,Atorvastatin,462
ELMTREES SURGERY,Atorvastatin,454
ELMWOOD FAMILY DOCTORS,Atorvastatin,664
ELMWOOD MEDICAL CENTRE,Atorvastatin,551
ELSDALE STREET SURGERY,Atorvastatin,373
ELSDON AVENUE SURGERY,Atorvastatin,581
ELSENHAM SURGERY,Atorvastatin,676
ELSWICK FAMILY PRACTICE,Atorvastatin,1278
ELTHAM MEDICAL PRACTICE,Atorvastatin,1153
ELTHAM PALACE PMS,Atorvastatin,329
ELTHORNE PARK SURGERY,Atorvastatin,542
ELTON REHABILITATION UNIT,Clotrimazole,2
ELVINGTON MEDICAL PRACTICE,Atorvastatin,665
EMERGENCY DEPARTMENT,Aciclovir,3
EMERGENCY PALLIATIVE CARE OOH,Benzydamine hydrochloride,1
EMERSONS GREEN MEDICAL CENTRE,Omeprazole,344
EMMER GREEN SURGERY,Atorvastatin,507
EMMETT CARR SURGERY,Atorvastatin,464
EMMS,Eye Products,15
EMPEROR'S GATE CENTRE FOR HEALTH,Atorvastatin,191
EMPINGHAM MEDICAL CENTRE,Atorvastatin,881
EMSWORTH SURGERY,Omeprazole,799
END OF LIFE & PALLIATIVE CARE SERVICE,Morphine sulfate,6
END OF LIFE SERVICES,Morphine sulfate,10
ENDEAVOUR SUITE,Gabapentin,2
ENDERBY MEDICAL CENTRE,Atorvastatin,312
ENDERLEY ROAD MEDICAL CENTRE,Atorvastatin,1124
ENDOCRINOLOGY,Other emollient preparations,3
ENFIELD COMMUNITY GYNAECOLOGY SERVICE,Clobetasol propionate,8
ENFIELD COMMUNITY SERVICES,Wound Management & Other Dressings,740
ENGLETON HOUSE SURGERY,Atorvastatin,924
ENHANCED GP SERVICE,Amoxicillin,483
ENHANCED HEALTH CARE HOMES,Bumetanide,1
ENHCCG NURSE PRESCRIBERS,Wound Management & Other Dressings,301
ENT CLINIC,Hydroxocobalamin,1
ENT DEPARTMENT CANNOCK,Fluticasone propionate (Nasal),2
ENT GPWSI CUMBERLAND CENTRE,Fluticasone furoate,3
ENT SERVICE,Ciprofloxain/dexameth,4
ENT SPINKS LANE,Mometasone furoate,6
EPILEPSY NURSE CANNOCK,Eslicarbazepine acetate,2
EPSOM DAY SURGERY UNIT,Isotretinoin,27
EPUT ABBOT INTERMEDIATE CARE UNIT,Other individually formulated bought in preparations,1
EPUT COMMUNITY CARDIOLOGY,Sacubitril/valsartan,38
EPUT COMMUNITY NURSING,Wound Management & Other Dressings,348
EPUT LONG COVID CLINIC,Famotidine,4
EPUT MSK/PHYSIOTHERAPY,Naproxen,1
EPUT RESPIRATORY,Prednisolone,7
EPUT TISSUE VIABILITY,Wound Management & Other Dressings,66
EREWASH ELECTRONIC REFERRAL MODULE LE,Amoxicillin,8
ESCRICK SURGERY,Atorvastatin,589
ESHER GREEN SURGERY,Atorvastatin,468
ESHT - URGENT TREATMENT CENTRE,Flucloxacillin sodium,110
ESKDAILL MEDICAL,Atorvastatin,1121
ESP HUB OOH,Amoxicillin,15
ESPLANADE SURGERY,Atorvastatin,801
"ESSEX HOUSE MEDICAL CENTRE, CHARD",Atorvastatin,742
ESSEX HOUSE SURGERY,Atorvastatin,433
ESSEX LODGE,Atorvastatin,1087
ESSEX UNIVERSITY PARTNERSHIP NHS TRUST,Methadone hydrochloride,342
ESSEX WAY SURGERY,Atorvastatin,269
ESSINGTON MEDICAL CENTRE,Atorvastatin,446
EUXTON HALL HOSPITAL,Fluticasone propionate (Nasal),6
EVE HILL MEDICAL PRACTICE,Lansoprazole,779
EVELYN MEDICAL CENTRE,Atorvastatin,677
EVENWOOD MEDICAL PRACTICE,Atorvastatin,486
EVEREST HEALTH PARTNERSHIP,Atorvastatin,763
EVEREST HOUSE SURGERY,Atorvastatin,982
EVERGREEN OAK SURGERY,Omeprazole,365
EVERGREEN PRACTICE,Atorvastatin,208
EVERGREEN PRIMARY CARE CENTRE,Atorvastatin,1701
EVERSLEY MEDICAL CENTRE,Atorvastatin,574
EVESHAM CMHT,Quetiapine,4
EVMC - DVT CLINIC,Rivaroxaban,11
EVMC DERMATOLOGY CLINIC,Isotretinoin,37
EVMC GYNAECOLOGY,Emollients,1
EVMC MINOR INJURIES UNIT,Flucloxacillin sodium,105
EVOLUTIO COMMUNITY OPTHALMOLOGY SERVICE,Dexamethasone,4
EXCEL PRIMARY CARE,Atorvastatin,1547
EXETER HEADACHE CLINIC,Levothyroxine sodium,1
EXMOOR MEDICAL CENTRE,Atorvastatin,473
EXTENDED ACCESS HUB,Flucloxacillin sodium,73
EXTENDED ACCESS PRIMARY CARE HUB,Amlodipine,3
EXTENDED ACCESS ST PAULS,Escitalopram,7
EXTENDED HOURS,Amoxicillin,13
EXTENDED HOURS (CURO) HUB,Amoxicillin,69
EXTENDED HOURS SERVICE,Cefalexin,1
EXTENDED HOURS SERVICE-TENNANT STREET,Amoxicillin,68
EXTENDED HOURS SERVICE-WOODBRIDGE,Propranolol hydrochloride,14
EXTENDED PRIMARY INTEGRATED CARE 24 OOH,Amoxicillin,320
EYAM SURGERY,Atorvastatin,377
EYE 2 EYE OPTICIANS,Prednisolone acetate,31
EYE COMMISSIONED BEDS,Fusidic acid,1
EYE HEALTH CENTRE,Atorvastatin,627
EYNSHAM MEDICAL GROUP,Atorvastatin,1733
FAB PCN HUB,Amoxicillin,43
FACCINI HOUSE SURGERY,Atorvastatin,340
FAILSWORTH GROUP PRACTICE,Clopidogrel,6
FAIRBROOK MEDICAL CENTRE,Atorvastatin,782
FAIRFAX GROUP PRACTICE,Atorvastatin,595
FAIRFIELD MEDICAL CENTRE,Atorvastatin,1080
FAIRFIELD PARK HEALTH CENTRE,Atorvastatin,739
FAIRFIELD PMS,Atorvastatin,835
FAIRFIELD SURGERY,Atorvastatin,580
FAIRFIELDS PRACTICE,Atorvastatin,576
FAIRHAVENS HOSPICE,Co-amoxiclav (Amoxicillin/clavulanic acid),2
FAIRHILL MEDICAL PRACTICE,Atorvastatin,627
FAIRLANDS MEDICAL PRACTICE,Omeprazole,609
FAIRLAWNS HUB,Amoxicillin,223
FAIRMORE MEDICAL PRACTICE,Atorvastatin,393
FAIRVIEW MEDICAL CENTRE,Levothyroxine sodium,289
FAKENHAM MEDICAL PRACTICE,Atorvastatin,1867
FALKLAND HOUSE SURGERY,Atorvastatin,353
FALKLAND SURGERY,Atorvastatin,1233
FALLODON WAY MEDICAL CENTRE,Atorvastatin,629
FALLOWFIELD MEDICAL CENTRE,Atorvastatin,214
FALMOUTH HEALTH CENTRE,Omeprazole,788
FALMOUTH ROAD GROUP PRACTICE,Atorvastatin,555
FAMILY DOCTORS,Atorvastatin,201
FAMILY FRIENDLY SURGERY,Atorvastatin,432
FAMILY MEDICAL CENTRE (KIRKBY),Atorvastatin,824
FAMILY MEDICAL CENTRE (SOOD),Atorvastatin,840
FAMILY PRACTICE,Atorvastatin,766
FAMILY PRACTICE GROUP,Atorvastatin,505
FAMILY SURGERY,Atorvastatin,1572
FAR LANE MEDICAL CENTRE,Atorvastatin,620
FAREHAM & GOSPORT CCG CONTINENCE SERVICE,Catheters,404
FAREHAM PCAS,Diazepam,1
FARLEIGH HOSPICE,Morphine sulfate,35
FARMBOROUGH COURT,Paracetamol,65
FARMHOUSE SURGERY,Omeprazole,541
FARNHAM DENE MEDICAL PRACTICE,Atorvastatin,520
FARNHAM DIAGNOSTIC AND TREATMENT CENTRE,Betahistine hydrochloride,2
FARNHAM MEDICAL CTR.,Lansoprazole,2184
FARNHAM PARK HEALTH GROUP,Atorvastatin,1077
FARNHAM ROAD PRACTICE,Atorvastatin,1878
FARNWORTH FAMILY PRACTICE,Atorvastatin,448
FARRIER HOUSE SURGERY,Mirtazapine,243
FARROW MEDICAL CENTRE,Atorvastatin,803
FAVERSHAM MEDICAL PRACTICE,Atorvastatin,515
FAVERSHAM MEDICAL PRACTICE MIU,Amoxicillin,50
FCMS (NW) LTD,Flucloxacillin sodium,160
FEARNHEAD CROSS MED.CTR.,Omeprazole,942
FEATHERSTONE,Atorvastatin,242
FEATHERSTONE MEDICAL CENTRE,Atorvastatin,137
FEATHERSTONE ROAD HEALTH CENTRE,Atorvastatin,775
FEDERATED4HEALTH,Amoxicillin,115
FELDON LANE PRACTICE,Atorvastatin,493
FELIXSTOWE ROAD MEDICAL PRACTICE,Atorvastatin,787
FELL COTTAGE SURGERY,Atorvastatin,764
FELL TOWER MEDICAL CENTRE,Colecalciferol,700
FELLVIEW HEALTHCARE,Lansoprazole,2376
FELMORES MEDICAL CENTRE,Lansoprazole,423
FELTON SURGERY,Atorvastatin,57
FELTWELL SURGERY,Atorvastatin,788
FENCE PIECE ROAD MEDICAL CENTRE,Atorvastatin,376
FENHAM HALL SURGERY,Atorvastatin,978
FENLAND GROUP PRACTICE,Atorvastatin,1502
FENNY COMPTON SURGERY,Atorvastatin,549
FERN HOUSE SURGERY,Atorvastatin,1826
FERNBANK SURGERY,Atorvastatin,897
FERNCLOUGH SURGERY,Atorvastatin,282
FERNLEA SURGERY,Atorvastatin,489
FERNLEY MEDICAL CENTRE,Atorvastatin,475
FERNVILLE SURGERY,Atorvastatin,1338
FERRY ROAD HEALTH CENTRE,Atorvastatin,503
FERRYHILL AND CHILTON MEDICAL PRACTICE,Atorvastatin,2035
FERTILITY FUSION,Letrozole,1
"FIELD HOUSE SURGERY, BRIDLINGTON",Lansoprazole,804
FIELD ROAD SURGERY,Atorvastatin,952
FIELD STREET SURGERY,Atorvastatin,257
FIELDHEAD BUSINESS CENTRE-CAMHS,Melatonin,1
FIELDHEAD SURGERY,Atorvastatin,699
FIELDHOUSE MEDICAL GROUP,Omeprazole,1023
FIG TREE MEDICAL PRACTICE,Atorvastatin,479
FIGGES MARSH SURGERY,Atorvastatin,649
FILEY SURGERY,Atorvastatin,1175
FINCH ROAD PRIMARY CARE CENTRE,Metformin hydrochloride,148
FINCHAMPSTEAD PRACTICE,Levothyroxine sodium,881
FINCHLEY WIC,Flucloxacillin sodium,156
FINNEY LANE SURGERY,Atorvastatin,695
FIR PARK MEDICAL CENTRE,Atorvastatin,894
FIR TREE,Influenza,891
FIRDALE MEDICAL CENTRE,Atorvastatin,921
FIRECLAY HEALTH,Atorvastatin,1418
FIRS HOUSE SURGERY,Omeprazole,617
FIRS SURGERY,Atorvastatin,165
FIRST 4 HEALTH GROUP - E7 HEALTH,Atorvastatin,658
FIRST CHOICE MEDICAL CARE,Atorvastatin,296
FIRST COMMUNITY HEALTH & CARE,Flucloxacillin sodium,29
FIRST CONTACT & PC PATH,Amoxicillin,269
FIRSTCARE PRACTICE,Atorvastatin,631
FIRSWAY HEALTH CENTRE,Atorvastatin,1282
FIRTH PARK SURGERY,Atorvastatin,954
FISHERGATE HILL SURGERY,Atorvastatin,448
FISHERMEAD MEDICAL CENTRE,Atorvastatin,266
FISHPONDS FAMILY PRACTICE,Atorvastatin,1021
FITZALAN MEDICAL GROUP,Atorvastatin,1207
FITZROVIA MEDICAL CENTRE,Atorvastatin,451
FITZWILLIAM HOSPITAL,Co-amoxiclav (Amoxicillin/clavulanic acid),5
FIVE ELMS EXTENDED SERVICE,Amoxicillin,2
FIVE ELMS MEDICAL PRACTICE,Atorvastatin,381
FIVE OAKS FAMILIY PRACTICE,Atorvastatin,792
FIVE VALLEYS MEDICAL PRACTICE,Atorvastatin,1071
FLANSHAM PARK HEALTH CENTRE,Omeprazole,888
FLEET MEDICAL CENTRE,Atorvastatin,525
FLEETWOOD SURGERY,Atorvastatin,764
FLEGGBURGH SURGERY,Levothyroxine sodium,204
FLITWICK SURGERY,Atorvastatin,1376
FLIXTON ROAD MEDICAL CENTRE,Atorvastatin,1190
FLORENCE HOUSE MEDICAL PRACTICE,Atorvastatin,1029
FOLKESTONE UTC AND DEAL UTC,Amoxicillin,143
FOLLY LANE MEDICAL CENTRE,Omeprazole,752
FORD MEDICAL PRACTICE,Atorvastatin,531
FORDBRIDGE MEDICAL CENTRE,Atorvastatin,379
FORDHOUSES MEDICAL CENTRE,Atorvastatin,301
FORDINGBRIDGE SURGERY,Atorvastatin,1368
FORDINGTON SURGERY,Omeprazole,435
FOREST DEAN LOCALITY NURSE PRESCRIBER,Flucloxacillin sodium,2
FOREST HALL MEDICAL GROUP,Atorvastatin,2044
FOREST HEALTH CARE,Atorvastatin,1084
FOREST HEALTH GROUP,Atorvastatin,1043
FOREST HILL GROUP PRACTICE,Atorvastatin,533
FOREST HOUSE MEDICAL CTR,Atorvastatin,1299
FOREST HOUSE SURGERY,Lansoprazole,1044
FOREST MEDICAL,Atorvastatin,1795
FOREST PRACTICE,Atorvastatin,607
FOREST SURGERY,Atorvastatin,965
FORESTSIDE MEDICAL PRACTICE,Omeprazole,563
FORGE CLOSE SURGERY,Atorvastatin,279
FORGE HEALTH GROUP,Atorvastatin,1388
FORGE MEDICAL PRACTICE,Atorvastatin,1065
FORREST MEDICAL CENTRE,Omeprazole,724
FORRESTER STREET MEDICAL CENTRE,Atorvastatin,638
FORT HOUSE SURGERY,Levothyroxine sodium,450
FORTUNE GREEN ROAD SURGERY,Atorvastatin,222
FORTY WILLOWS SURGERY,Atorvastatin,289
FORUM FAMILY PRACTICE,Atorvastatin,997
FORWARD LEEDS,Methadone hydrochloride,3740
FORWARD THINKING BIRMINGHAM,Methylphenidate hydrochloride,81
FOSSE MEDICAL CENTRE (DR H MUKADAM),Atorvastatin,990
FOUNDATIONS,Methadone hydrochloride,1669
FOUNDATIONS -HARRIS STREET,Colecalciferol,100
FOUNDRY HEALTHCARE LEWES,Atorvastatin,1588
FOUNDRY LANE SURGERY,Lansoprazole,478
FOUNTAIN MEDICAL CENTRE,Atorvastatin,928
