Prescriber,Substancia,Quantidade
CHARING SURGERY,Atorvastatin,847
CHARLES ROAD SURGERY,Atorvastatin,362
CHARLESTOWN MD,Atorvastatin,341
CHARLOTTE KEEL MEDICAL PRACTICE,Atorvastatin,1450
CHARLOTTE STREET SURGERY,Metformin hydrochloride,103
CHARLTON FARM HOSPICE,Morphine sulfate,3
CHARLTON HILL SURGERY,Omeprazole,660
CHARLTON HOUSE MEDICAL CENTRE,Amlodipine,547
CHARLTON MEDICAL PRACTICE,Atorvastatin,1030
CHARNOCK HEALTH PRIMARY CARE CENTRE,Atorvastatin,708
CHARNWOOD MEDICAL GROUP,Lansoprazole,949
CHARNWOOD SURGERY,Atorvastatin,176
CHARTER MEDICAL CENTRE,Atorvastatin,1180
CHARTFIELD SURGERY,Atorvastatin,610
CHARTWELL GREEN SURGERY,Omeprazole,317
CHASE CROSS MEDICAL CENTRE,Atorvastatin,565
CHASE MEADOW HEALTH CENTRE,Omeprazole,300
CHASTLETON MEDICAL GROUP,Atorvastatin,756
CHATFIELD MEDICAL CENTRE,Atorvastatin,713
CHATHAM STREET SURGERY,Atorvastatin,363
CHATSWORTH ROAD MEDICAL CENTRE,Atorvastatin,551
CHAUCER SURGERY,Omeprazole,242
CHAWTON HOUSE SURGERY,Atorvastatin,634
CHAWTON PARK SURGERY,Omeprazole,586
CHCCG COVID 19 TREATMENT CENTRE,Phenoxymethylpenicillin (Penicillin V),10
"CHCP - HESSLE, BROUGH, COTT, ANLABY",Other emollient preparations,3
CHCP - POCK & GOOLE LOC TEAM,Nystatin,5
CHCP - URGENT CARE OOH,Flucloxacillin sodium,400
CHEADLE HULME MEDICAL GROUP,Atorvastatin,671
CHEADLE MEDICAL PRACTICE,Atorvastatin,752
CHEAM FAMILY PRACTICE,Atorvastatin,622
CHEAM FAMILY PRACTICE S/CARE SERVICE,Alendronic acid,1
CHEAM GP CENTRE,Atorvastatin,1636
CHEDDAR MEDICAL CENTRE,Atorvastatin,536
CHEETHAM HILL PRIMARY CARE CENTRE,Atorvastatin,1025
CHELFORD SURGERY,Atorvastatin,660
CHELLS SURGERY,Atorvastatin,1396
CHELMER MEDICAL PARTNERSHIP,Atorvastatin,1844
CHELMER VILLAGE SURGERY,Atorvastatin,195
CHELSFIELD SURGERY,Atorvastatin,375
CHELSTON HALL SURGERY,Atorvastatin,1336
CHELTENHAM LOCALITY NURSE PRESCRIBER,Nystatin,7
CHEPSTOW GARDENS MEDICAL CENTRE,Atorvastatin,363
CHERITON BISHOP SURGERY,Atorvastatin,367
CHERRY HINTON MEDICAL CENTRE,Influenza,1743
CHERRY MEDICAL PRACTICE,Atorvastatin,519
CHERRY TREE SURGERY,Atorvastatin,345
CHERRYMEAD SURGERY,Atorvastatin,471
CHERTSEY HEALTH CENTRE,Atorvastatin,965
CHESHIRE ROAD SURGERY,Atorvastatin,348
CHESSINGTON PARK SURGERY,Atorvastatin,452
CHESTER SURGERY,Atorvastatin,319
CHESTER-LE-ST GP EXTENDED ACCESS SERVICE,Mupirocin,1
CHESTERFIELD HEALTH PROVIDER LTD,Atorvastatin,68
CHESTNUT PRACTICE,Atorvastatin,700
CHET VALLEY MEDICAL PRACTICE,Lansoprazole,1073
CHEVELEY PARK MEDICAL CTR,Atorvastatin,405
CHEVIN MEDICAL CONSULTANCY ENT SERVICE,Isotretinoin,27
CHEVIN MEDICAL PRACTICE,Atorvastatin,1384
CHEVIOT MEDICAL GROUP,Atorvastatin,420
CHEVIOT ROAD SURGERY,Atorvastatin,691
CHEW MEDICAL PRACTICE,Atorvastatin,1270
CHICHELE ROAD SURGERY,Atorvastatin,255
CHICHESTER MIAMI GP ACCESS HUB,Estradiol with progestogen,3
CHIDDINGFOLD SURGERY,Atorvastatin,471
CHIGWELL MEDICAL CENTRE,Atorvastatin,628
CHILCOTE PRACTICE,Atorvastatin,1233
CHILD & ADOLESCENT MENTAL HEALTH SERVICE,Methylphenidate hydrochloride,79
CHILD & FAMILY COMMUNITY PAEDIATRICIANS,Methadone hydrochloride,2
CHILD AND FAMILY SERVICES,Melatonin,77
CHILD DEVELOPMENT CENTRE BURY,Melatonin,17
CHILD DEVELOPMENT CENTRE IPSWICH,Melatonin,12
CHILD DEVELOPMENT TEAM HOUNSLOW,Methylphenidate hydrochloride,3
CHILD HEALTH SERVICE,Melatonin,27
CHILDREN & ADOLESCENT MENTAL HEALTH,Fluoxetine hydrochloride,81
CHILDREN AND FAMILIES DIVISION,Melatonin,623
CHILDREN'S HOSPICE SOUTH WEST,Fentanyl,2
CHILDREN'S HUB,Melatonin,3
CHILDREN'S INTEGRATED ASTHMA AND WHEEZE,Beclometasone dipropionate,4
CHILDREN'S LD SERVICE,Melatonin,11
CHILDREN'S SERVICES,Melatonin,11
CHILDRENS CENTRE,Methylphenidate hydrochloride,112
CHILDRENS OUTPATIENTS,Amoxicillin,16
CHILDRENS SERVICES,Emollients,4
CHILLINGTON HEALTH CENTRE,Atorvastatin,526
CHILTERN HOUSE MED CENTRE,Influenza,693
CHILWELL VALLEY AND MEADOWS PRACTICE,Atorvastatin,829
CHINEHAM MEDICAL PRACTICE,Omeprazole,833
CHINGFORD MEDICAL PRACTICE,Atorvastatin,677
CHIPPING CAMPDEN SURGERY,Atorvastatin,622
CHIPPING NORTON HEALTH CENTRE,Atorvastatin,2217
CHIPPING SURGERY,Atorvastatin,1099
CHISLEHURST MEDICAL PRACTICE,Atorvastatin,782
CHISWICK FAMILY DRS PRACTICE,Atorvastatin,146
CHISWICK FAMILY PRACTICE,Atorvastatin,919
CHISWICK HEALTH PRACTICE,Atorvastatin,474
CHISWICK PCN EXTENDED HOURS HUB,Hydrocortisone,5
CHOBHAM & WEST END MEDICAL PRACTICE,Atorvastatin,574
CHOICE PLUS,Phenoxymethylpenicillin (Penicillin V),25
CHOLMLEY GARDENS SURGERY,Levothyroxine sodium,254
CHOPWELL PRIMARY HEALTHCARE CENTRE,Atorvastatin,504
CHORLEYWOOD HEALTH CENTRE,Atorvastatin,257
CHORLTON FAMILY PRACTICE,Atorvastatin,1384
CHOWDHURY,Amlodipine,200
CHP LTD - BRANSHOLME,Atorvastatin,433
CHRISTCHURCH HALL SURGERY,Metformin hydrochloride,163
CHRISTCHURCH MEDICAL PRACTICE,Omeprazole,1657
CHRISTIANA HARTLEY MEDICAL PRACTICE,Atorvastatin,1016
CHS ENT SERVICE O/P DEPT,Other emollient preparations,5
CHS GP SERVICE OOH,Amoxicillin,4
CHS URGENT CARE CENTRE,Dalteparin sodium,4
CHURCH AVENUE MEDICAL GROUP,Atorvastatin,796
CHURCH END MEDICAL CENTRE,Atorvastatin,735
CHURCH HILL SURGERY,Atorvastatin,600
CHURCH LANE - KHAN,Atorvastatin,358
CHURCH LANE HEALTH CENTRE,Atorvastatin,432
CHURCH LANE MEDICAL CENTRE,Atorvastatin,1215
CHURCH LANE SURGERY,Atorvastatin,3725
CHURCH LANGLEY MEDICAL PRACTICE,Atorvastatin,705
CHURCH ROAD,Atorvastatin,411
CHURCH ROAD MEDICAL PRACTICE,Atorvastatin,350
CHURCH ROAD SURGERY,Atorvastatin,1441
CHURCH STREET PARTNERSHIP,Atorvastatin,1422
CHURCH STREET PRACTICE,Atorvastatin,1954
"CHURCH STREET SURGERY, MARTOCK",Omeprazole,886
CHURCH STRETTON MEDICAL CENTRE,Atorvastatin,435
CHURCH VIEW MEDICAL CENTRE,Omeprazole,478
CHURCH VIEW SURGERY,Atorvastatin,2558
CHURCH WALK SURGERY,Atorvastatin,586
CHURCHDOWN SURGERY,Atorvastatin,997
CHURCHFIELDS MEDICAL PRACTICE,Atorvastatin,746
CHURCHFIELDS SURGERY,Atorvastatin,600
CHURCHILL MEDICAL CENTRE,Atorvastatin,1647
CHURCHMERE MEDICAL GROUP,Atorvastatin,2389
CHURCHSIDE MEDICAL PRACTICE,Atorvastatin,789
CHURCHTOWN MEDICAL CENTRE,Atorvastatin,1102
CIRCLE INTEGRATED CARE,Other emollient preparations,12
CIRENCESTER HEALTH GROUP,Atorvastatin,1323
CIS THREE BOROUGHS,Doxazosin mesilate,2
CITY AND HACKNEY COMMUNITY ENT,Nasal Products,11
CITY HEALTH CENTRE,Atorvastatin,336
CITY HEALTH PRACTICE LTD,Atorvastatin,965
CITY ROAD MEDICAL CENTRE,Atorvastatin,447
CITY SQUARE MEDICAL GROUP,Atorvastatin,1435
CITY VIEW MEDICAL PRACTICE,Atorvastatin,1181
CITY WALLS MEDICAL CENTRE,Atorvastatin,1388
CITY WAY SURGERY,Atorvastatin,907
CITY-EARLY INTERVENTION IN PSYCHOSIS,Quetiapine,5
CIVIC MEDICAL CENTRE,Atorvastatin,798
CLACTON COMMUNITY PRACTICES,Atorvastatin,3066
CLACTON GP ALLIANCE EA,Doxycycline hyclate,31
CLAIRE HOUSE,Oxycodone hydrochloride,3
CLAPHAM FAMILY PRACTICE,Atorvastatin,738
CLAPHAM JUNCTION MEDICAL PRACTICE,Amlodipine,185
CLAPHAM PARK GROUP PRACTICE,Atorvastatin,920
CLARE GUILDHALL SURGERY,Atorvastatin,285
CLAREMONT BANK SURGERY,Atorvastatin,450
CLAREMONT CLINIC,Atorvastatin,1287
CLAREMONT HOLYPORT SURGERY,Atorvastatin,821
CLAREMONT MEDICAL CENTRE,Atorvastatin,436
CLAREMONT MEDICAL PRACTICE,Atorvastatin,1156
CLARENCE MEDICAL CENTRE,Atorvastatin,361
CLARENDON LODGE MEDICAL CENTRE,Omeprazole,520
CLARENDON MEDICAL CENTRE,Atorvastatin,1871
CLARENDON PARK ROAD HEALTH CENTRE,Atorvastatin,407
CLARENDON SURGERY,Atorvastatin,867
CLARKSON SURGERY,Atorvastatin,1311
CLAUGHTON MEDICAL CENTRE,Omeprazole,1231
CLAVERLEY,Atorvastatin,353
CLAY CROSS MEDICAL CENTRE,Atorvastatin,770
CLAY LANE MEDICAL PRACTICE,Atorvastatin,644
CLAYHALL CLINIC,Atorvastatin,875
CLAYHILL MEDICAL PRACTICE,Lansoprazole,355
CLAYPATH & UNIVERSITY MEDICAL GROUP,Atorvastatin,775
CLAYS PRACTICE,Omeprazole,1423
CLAYTON BROOK SURGERY,Lansoprazole,275
CLCH DIABETES - MERTON,Other Appliances,8
CLCH HERTS VALLEY NMP,Lymphoedema Garments,175
CLEARWAYS,Methadone hydrochloride,877
CLECKHEATON GROUP PRACTICE,Lansoprazole,1067
CLEE MEDICAL CENTRE,Atorvastatin,1742
CLEEVELANDS MEDICAL CENTRE,Atorvastatin,779
CLEGGS LANE MEDICAL PRACTICE/129,Omeprazole,249
CLEMENT ROAD MEDICAL PRACTICE,Atorvastatin,268
CLEOBURY MORTIMER SURGERY,Omeprazole,535
CLERKENWELL MEDICAL PRACTICE,Atorvastatin,337
CLEVEDON MEDICAL CENTRE,Atorvastatin,939
CLEVEDON MINOR INJURY UNIT,Co-amoxiclav (Amoxicillin/clavulanic acid),53
CLEVELAND SURGERY,Atorvastatin,1744
CLEVELEYS GROUP PRACTICE,Atorvastatin,1417
CLIFF HOUSE MEDICAL PRACTICE,Atorvastatin,444
CLIFFORD HOUSE MEDICAL CENTRE,Amlodipine,117
CLIFFORD ROAD SURGERY,Atorvastatin,500
CLIFT SURGERY,Omeprazole,536
CLIFTON COURT MEDICAL PRACTICE,Atorvastatin,1288
CLIFTON HAMPDEN SURGERY,Atorvastatin,283
CLIFTON HOUSE MEDICAL CENTRE,Atorvastatin,1264
CLIFTON LANE MEDICAL CENTRE,Atorvastatin,693
CLIFTON MEDICAL CENTRE,Atorvastatin,1301
CLIFTON MEDICAL PRACTICE,Atorvastatin,966
CLIFTON PARK HOSPITAL,Morphine sulfate,4
CLIFTON RISE FAMILY PRACTICE,Atorvastatin,248
CLIFTON ROAD SURGERY,Atorvastatin,669
CLINICAL ASSESSMENT SERVICE,Nitrofurantoin,107
CLIVE MEDICAL PRACTICE,Atorvastatin,672
CLOCK TOWER SURGERY,Mirtazapine,278
CLOISTER ROAD SURGERY,Atorvastatin,560
CLOSE FARM SURGERY,Atorvastatin,806
CLOVER CITY PRACTICE,Lansoprazole,140
CLOVER GROUP PRACTICE,Colecalciferol,1221
CLOVER HEALTH CENTRE,Colecalciferol,346
CLOVER NORTH DARNALL HEALTH CENTRE,Atorvastatin,453
CMAGIC,Testosterone,9
CMFT CONTINENCE PRESCRIBING SERVICE,Catheters,96
CMHS CUMBERLAND,Quetiapine,22
CMHT EAST,Mirtazapine,1
CMHT OP SURREY HEATH,Donepezil hydrochloride,6
CMHT OP WAVERLEY,Donepezil hydrochloride,21
CNWL-MK MEDICAL PRESCRIBER,Methylphenidate hydrochloride,12
CO-FORMATION (VILLA AND CO),Bisoprolol fumarate,11
COACHMANS MEDICAL PRACTICE,Atorvastatin,493
COALWAY ROAD SURGERY,Atorvastatin,370
COASTAL AND RURAL HEALTH PARTNERSHIP,Amoxicillin,6
COASTAL HEALTH NORTH,Amoxicillin,7
COASTAL HEALTH SOUTH,Clobetasone butyrate,2
COASTAL MEDICAL PARTNERSHIP,Atorvastatin,2938
COASTAL VILLAGES PRACTICE,Atorvastatin,1887
COBBS GARDEN SURGERY,Atorvastatin,406
COBHAM DAY SURGERY UNIT,Betamethasone valerate,8
COBHAM HEALTH CENTRE,Atorvastatin,502
COBRIDGE SURGERY,Atorvastatin,455
COCKFOSTERS MEDICAL CTRE,Atorvastatin,493
COCKHEDGE MEDICAL CENTRE,Ramipril,199
COFTON MEDICAL CENTRE,Atorvastatin,522
COGGES SURGERY,Atorvastatin,488
COLBY MEDICAL CENTRE,Atorvastatin,270
COLCHESTER MEDICAL PRACTICE,Levothyroxine sodium,2979
COLEFORD FAMILY DOCTORS,Atorvastatin,1130
COLERIDGE MEDICAL CENTRE,Atorvastatin,856
COLINDALE MEDICAL CENTRE LP,Atorvastatin,407
COLLEGE GREEN MEDICAL PRACTICE,Atorvastatin,911
COLLEGE LANE SURGERY,Atorvastatin,957
COLLEGE ROAD SURGERY,Atorvastatin,750
COLLEGE STREET MEDICAL PRACTICE,Atorvastatin,391
COLLEGE SURGERY PARTNERSHIP,Atorvastatin,1558
COLLEGE WAY SURGERY,Atorvastatin,994
COLLIERS WOOD SURGERY,Atorvastatin,667
COLLIERY COURT MEDICAL GROUP,Lansoprazole,950
COLLINGHAM CHURCH VIEW SURGERY,Atorvastatin,1065
COLLINGHAM MEDICAL CENTRE,Atorvastatin,761
COLLINGTON SURGERY,Atorvastatin,1446
COLLINGWOOD FAMILY PRACTICE,Atorvastatin,483
COLLINGWOOD HEALTH GROUP,Lansoprazole,2023
COLLINGWOOD ROAD SURGERY,Atorvastatin,239
COLNE MEDICAL CENTRE,Atorvastatin,939
COLNE ROAD SURGERY,Atorvastatin,705
COLNE VALLEY GROUP PRACTICE,Atorvastatin,732
COLNEY HATCH LANE SURGERY,Atorvastatin,436
"COLNEY,COLERIDGE HSE & BRICKET WOOD MCS",Atorvastatin,283
COLORECTAL SURGERY-MERTON CCG,Diltiazem hydrochloride,2
COLSTERWORTH SURGERY,Atorvastatin,387
COLTISHALL MEDICAL PRACTICE,Lansoprazole,890
COLVILLE HEALTH CENTRE,Atorvastatin,858
COLWALL SURGERY,Atorvastatin,338
COMBE COASTAL PRACTICE,Atorvastatin,1499
COMBE DOWN SURGERY,Atorvastatin,737
COMBERTON SURGERY,Atorvastatin,682
COMBS FORD SURGERY,Omeprazole,802
COMM DIABETES CLINIC,Semaglutide,16
COMM GYNAECOLOGY CLINIC2,Levonorgestrel,10
COMMISCEO PRIMARY CARE SOLUTIONS OOH,Amoxicillin,20
COMMONFIELD RD SURGERY,Atorvastatin,731
COMMONWEALTH HEALTH CENTRE,Atorvastatin,494
COMMUNITAS CLINICS - BEXLEY COMM DERM,Tacrolimus,26
COMMUNITAS CLINICS INTERMEDIATE ENT,Other individually formulated bought in preparations,23
COMMUNITY (SLK) DERMATOLOGY SERVICE,Other emollient preparations,9
COMMUNITY ANTICOAG SERVICE LIVERPOOL,Warfarin sodium,38
COMMUNITY ASSESSMENT UNIT,Colecalciferol,3
COMMUNITY CAMHS,Methylphenidate hydrochloride,163
COMMUNITY CARDIOLOGY SERVICE,Bisoprolol fumarate,3
COMMUNITY CARE (SW),Amoxicillin,47
COMMUNITY CHILDREN'S NURSE,Senna,2
COMMUNITY COPD CLINIC,Other Appliances,1
COMMUNITY COPD SERVICE,Beclometdiprop/formoterol/glycopyrronium,2
COMMUNITY CVD SERVICE,Bisoprolol fumarate,19
COMMUNITY DERMATOLOGY CLINIC,Isotretinoin,17
COMMUNITY DERMATOLOGY SERVICE,Emollients,130
COMMUNITY DERMATOLOGY SERVICE NHS H&R,Isotretinoin,45
COMMUNITY DERMATOLOGY SOUTHWARK GSTT,Emollients,20
COMMUNITY DERMATOLOGY SOUTHWARK SERVICE,Emollients,9
COMMUNITY DERMATOLOGY YHP,Isophane insulin,1
COMMUNITY DIABETES CLINIC,Semaglutide,2
COMMUNITY DIABETES SERVICE,Other Appliances,59
COMMUNITY DIABETES SPECIALIST SERVICE,Other Appliances,4
COMMUNITY DIABETES TEAM,Semaglutide,30
COMMUNITY ENT,Dexamethasone,14
COMMUNITY ENT SERVICE,Fluticasone propionate (Nasal),57
COMMUNITY FRAILTY SERVICE,Flucloxacillin sodium,1
COMMUNITY FRAILTY SERVICE (EAST KENT),Midazolam hydrochloride,5
COMMUNITY GERIATRICIAN SERVICE,Enoxaparin,23
COMMUNITY GERIATRICIANS,Enteral nutrition,24
COMMUNITY GYNAE SERVICE,Estradiol,8
COMMUNITY GYNAECOLOGY CLINIC NH,Estriol,12
COMMUNITY GYNAECOLOGY SERVICE,Amoxicillin,17
COMMUNITY HEALTH & EYECARE,Diazepam,1
COMMUNITY HEALTH CENTRE (ZS OSAMA),Atorvastatin,1524
COMMUNITY HEALTH NEWHAM,Wound Management & Other Dressings,450
COMMUNITY HEALTH SERVICES,Other Appliances,62
COMMUNITY HEART FAILURE TEAM,Sacubitril/valsartan,33
COMMUNITY HOSPICE SERVICES,Lymphoedema Garments,83
COMMUNITY MAS BICS,Donepezil hydrochloride,9
COMMUNITY MEDICAL STAFFING-PEACE,Melatonin,95
COMMUNITY MEDICAL STAFFING-ST ALBANS,Melatonin,58
COMMUNITY MIDWIVES,Folic acid,1
COMMUNITY NON MEDICAL PRESCRIBING,Lymphoedema Garments,103
COMMUNITY NON-MEDICAL PRESCRIBERS,Wound Management & Other Dressings,283
COMMUNITY NURSE PRESCRIBERS,Wound Management & Other Dressings,478
COMMUNITY NURSE SERVICE,Wound Management & Other Dressings,102
COMMUNITY NURSES,Amoxicillin,1
COMMUNITY NURSES (IPCT) B&H CENTRAL,Other Appliances,10
COMMUNITY NURSES (IPCT) B&H EAST,Lymphoedema Garments,4
COMMUNITY NURSES BRENT CCG,Wound Management & Other Dressings,88
COMMUNITY NURSING,Wound Management & Other Dressings,1957
COMMUNITY NURSING (ER),Morphine sulfate,48
COMMUNITY NURSING (H&R),Lymphoedema Garments,48
COMMUNITY NURSING (HARROGATE),Furosemide,5
COMMUNITY NURSING (SOUTH TEES),Other Appliances,60
COMMUNITY OPHTHALMOLOGY SERVICE,Latanoprost,45
COMMUNITY OPHTHALMOLOGY TEAM,Dexamethasone,19
COMMUNITY OPTHALMOLOGY SERVICE,Ketotifen fumarate,5
COMMUNITY PAEDIATRIC NURSING,Melatonin,7
COMMUNITY PAEDIATRIC SERVICE,Methylphenidate hydrochloride,264
COMMUNITY PAEDIATRICIAN,Melatonin,33
COMMUNITY PAEDIATRICIANS,Methylphenidate hydrochloride,164
COMMUNITY PAEDIATRICIANS-LAMBETH,Melatonin,14
COMMUNITY PAEDIATRICIANS-SOUTHWARK,Melatonin,6
COMMUNITY PAEDIATRICS TLCO,Methylphenidate hydrochloride,67
COMMUNITY PAEDS,Methylphenidate hydrochloride,2
COMMUNITY PALLIATIVE CARE,Metoclopramide hydrochloride,1
COMMUNITY PALLIATIVE CARE MEDICAL TEAM,Co-codamol (Codeine phosphate/paracetamol),3
COMMUNITY PALLIATIVE CARE TEAM,Oxycodone hydrochloride,2
COMMUNITY PODIATRY SERVICE,Co-amoxiclav (Amoxicillin/clavulanic acid),2
COMMUNITY PRESCRIBERS,Bisoprolol fumarate,9
COMMUNITY RESPIRATORY SERVICE,Morphine sulfate,6
COMMUNITY RESPIRATORY TEAM,Fluticasone furoate (Inhalation),7
COMMUNITY RESPONCE TEAM,Amoxicillin,35
COMMUNITY SERVICES,Lymphoedema Garments,245
COMMUNITY SERVICES NURSE PRESCRIBERS,Benzydamine hydrochloride,35
COMMUNITY SPECIALIST COLORECTAL SERVICE,Diltiazem hydrochloride,1
COMMUNITY SPECIALIST NURSE PRESCRIBERS,Wound Management & Other Dressings,201
COMMUNITY STOMA PRESCRIPTION SERVICE,Adhesive Removers (Sprays/Liquids/Wipes),439
COMMUNITY STROKE REHABILITATION TEAM,Clopidogrel,1
COMMUNITY SUBSTANCE MISUSE TEAM,Methadone hydrochloride,1363
COMMUNITY TISSUE VIABILITY SERVICE,Wound Management & Other Dressings,2
COMMUNITY URGENT CARE,Amoxicillin,40
COMMUNITY UROLOGY CLINIC,Colecalciferol,2
COMMUNITY/SLH DAY CASE PALLIATIVE CARE,Oxycodone hydrochloride,52
COMPASS HEALTH,Enteral nutrition,660
COMPASS HOUSE MEDICAL CENTRES,Atorvastatin,1967
COMPASS MEDICAL PRACTICE,Mirtazapine,79
COMPTON HOSPICE,Midazolam hydrochloride,5
COMPTON HOSPICE INPATIENT UNIT,Morphine sulfate,9
COMPTON PALLIATIVE CARE TEAM,Morphine sulfate,25
CONCEPT HOUSE SURGERY,Atorvastatin,654
CONCORD MEDICAL CENTRE,Atorvastatin,1139
CONCORD MEDICAL PRACTICE,Lansoprazole,710
CONIFER HOUSE SEXUAL HEALTH CLINIC,Minocycline hydrochloride,6
CONISBROUGH GROUP PRACTICE,Lansoprazole,1188
CONISBROUGH MEDICAL PRACTICE,Atorvastatin,106
CONISTON MEDICAL PRACTICE,Atorvastatin,675
CONNAUGHT SQUARE PRACTICE,Atorvastatin,379
CONNECT HEALTH HERTS VALLEYS MSK SERVICE,Allopurinol,1
CONNECT HEALTH WOLVERHAMPTON MSK,Allopurinol,2
CONNECT PRESCRIPTION SERVICES,Adhesive Discs/Rings/Pads/Plasters,1
CONNER & PARTNERS,Atorvastatin,852
CONRAN MEDICAL CENTRE,Atorvastatin,590
CONSETT MEDICAL CENTRE,Atorvastatin,2329
CONSTABLE COUNTRY RURAL MEDICAL PRACTICE,Levothyroxine sodium,1126
CONSULTANT - ST BENEDICT,Domperidone,2
CONSULTANT DERMATOLOGIST(SUNDERLAND),Emollients,34
CONSULTANT DERMATOLOGY CLINIC,Isotretinoin,15
CONSULTING ROOMS,Atorvastatin,467
CONTINENCE & STOMA SERVICE,Adhesive Removers (Sprays/Liquids/Wipes),365
CONTINENCE AND STOMA SERVICE,Adhesive Removers (Sprays/Liquids/Wipes),221
CONTINENCE NURSING SERVICE,Catheters,251
CONTINENCE PRESCRIBING SERVICE,Night Drainage Bags,163
CONTINENCE PRESCRIPTION SERVICE,Catheters,364
CONTINENCE PRODUCT PRESCRIPTION SERVICE,Catheters,101
CONTINENCE SERVICE CGH,Docusate sodium,1
CONTINENCE SERVICE GRH,Macrogol 3350,1
CONTINENCE SERVICE PROJECT,Night Drainage Bags,229
CONTRACEPTION & SEXUAL HLH,Tadalafil,1
CONTRACEPTION AND SEXUAL HEALTH (SUTTON),Amoxicillin,1
CONWAY MEDICAL CENTRE,Atorvastatin,947
CONWAY PMS,Atorvastatin,318
CONWAY ROAD MEDICAL PRACTICE,Atorvastatin,720
COOK BF,Atorvastatin,623
COOK LANE SURGERY,Atorvastatin,413
COOKHAM MEDICAL CENTRE,Atorvastatin,525
COPD MANAGEMENT TEAM,Other Appliances,7
COPPICE SURGERY,Atorvastatin,1003
COPPULL MEDICAL PRACTICE,Atorvastatin,793
COPSEWOOD MEDICAL CENTRE,Atorvastatin,561
COQUET MEDICAL GROUP,Atorvastatin,1504
CORBETT MEDICAL PRACTICE,Atorvastatin,436
CORBRIDGE HEALTH CENTRE,Atorvastatin,617
CORBY URGENT CARE CENTRE,Amoxicillin,429
CORDWALLIS ROAD SURGERY,Metformin hydrochloride,219
CORE CARE FAMILY PRACTICE,Atorvastatin,320
CORFE CASTLE SURGERY,Ramipril,361
CORNBROOK MEDICAL PRACTICE,Atorvastatin,634
CORNER PLACE SURGERY,Atorvastatin,1675
CORNERSTONE FAMILY PRACTICE,Atorvastatin,606
CORNERSTONE MEDICAL PRACTICE,Atorvastatin,298
CORNERSTONE PRACTICE,Atorvastatin,739
CORNERSTONE SURGERY,Atorvastatin,336
CORNERWAYS MEDICAL CENTRE,Atorvastatin,1710
CORNERWAYS SURGERY,Atorvastatin,526
CORNFORD HOUSE SURGERY,Atorvastatin,857
CORNHILL SURGERY,Atorvastatin,309
CORNISHWAY GROUP PRACTICE,Atorvastatin,774
CORNWALL 111 OOH,Amoxicillin,219
CORNWALL HEALTH FOR HOMELESS,Pregabalin,78
CORNWALL HOUSE SURGERY,Atorvastatin,281
CORPORATE DIVISION,Haloperidol,2
COSELEY MEDICAL CENTRE,Atorvastatin,458
COSSINGTON PARK SURGERY,Atorvastatin,1348
COT HEADCORN EYE CENTRE,Dexamethasone,1
COT ST ANDREWS,Naproxen,1
COTMORE SURGERY,Influenza,860
COTSWOLD MEDICAL PRACTICE,Atorvastatin,1330
COTTAGE LANE SURGERY,Atorvastatin,203
COTTENHAM SURGERY,Atorvastatin,257
COTTERILS LANE SURGERY,Atorvastatin,97
COULBY MEDICAL PRACTICE,Lansoprazole,846
COUNTESS MOUNTBATTEN HOSPICE,Morphine sulfate,14
COUNTESTHORPE HEALTH CENTRE,Lansoprazole,598
COUNTRY PARK PRACTICE,Atorvastatin,403
COUNTY SURGERY,Amlodipine,354
COURT STREET MEDICAL PRACTICE,Atorvastatin,438
COURT THORN SURGERY,Amlodipine,384
COURT VIEW SURGERY,Atorvastatin,475
COURTSIDE SURGERY,Atorvastatin,911
COURTYARD SURGERY,Atorvastatin,294
COVENT GARDEN MEDICAL CENTRE,Atorvastatin,329
COVENTRY CRHT,Promethazine hydrochloride,2
COVENTRY GP GROUP OF PRACTICES,Atorvastatin,781
COVENTRY NAVIGATION 1 PCN EXTENDED HOURS,Amoxicillin,5
COVENTRY ROAD MEDICAL CENTRE,Atorvastatin,334
COVENTRY ROAD PRACTICE,Atorvastatin,326
COVENTRY SMS,Methadone hydrochloride,1129
COVID-19 URGENT EYECARE SERVICE CHELT 1,Fluorometholone,1
COVID-19 URGENT EYECARE SERVICE CHELT 2,Olopatadine,4
COVID-19 URGENT EYECARE SERVICE GLOS,Dexamethasone,1
COVID-19 URGENT EYECARE SERVICE STROUD,Fluorometholone,1
COWES MEDICAL CENTRE,Atorvastatin,789
COWFOLD SURGERY,Atorvastatin,623
COWLEY ROAD MEDICAL PRACTICE,Atorvastatin,305
COXHOE MEDICAL PRACTICE,Atorvastatin,745
CPFT - CONSULTANT DIABETES TEAM,Metronidazole,1
CPFT SPECIALIST SERVICE ELY AND FENS,Doxycycline hyclate,5
CPFT SPECIALIST SERVICE HUNTS,Co-amoxiclav (Amoxicillin/clavulanic acid),2
CPFT SPECIALIST SERVICE PETERBOROUGH,Other Appliances,4
CPT BOGNOR,Methadone hydrochloride,3
CPT CRAWLEY,Methadone hydrochloride,4
CPT WORTHING,Methadone hydrochloride,1315
CRABBS CROSS MEDICAL CENTRE,Atorvastatin,278
CRABBS CROSS SURGERY,Atorvastatin,272
CRADLEY SURGERY,Omeprazole,436
CRAG'S HEALTH CARE,Atorvastatin,598
CRAMLINGTON MEDICAL GROUP,Atorvastatin,950
CRANBROOK MEDICAL PRACTICE,Sertraline hydrochloride,120
