Substancia,Valor_Medio_bruto,Valor_Medio_liquido,Maior_valor,Menor_valor
Fluocinolone acetonide,9.29,8.7,187.31,2.49
Fluocinonide,12.57,11.8,98.34,3.27
Fluocortolone,7.63,7.14,15.47,3.79
Fluorescein sodium,1.36,1.28,8.66,0.43
Fluorometholone,3.48,3.27,89.49,1.6
Fluorouracil (Sunscreen),91.35,85.4,3106.64,30.75
Fluoxetine hydrochloride,25.02,23.82,816.78,0.05
Flupentixol decanoate,31.41,29.43,729.64,1.42
Flupentixol hydrochloride,6.57,6.31,91.85,0.19
Fluphenazine decanoate,433.82,405.44,930.82,2.22
Fluphenazine hydrochloride,74.09,69.25,117.84,20.67
Flurazepam hydrochloride,6.73,6.29,6.29,6.29
Flurbiprofen,64.3,60.18,200.16,4.28
Flurbiprofen sodium,58.38,54.57,104.17,34.72
Flutamide,92.26,86.34,198.57,16.55
Fluticasone furoate,53.54,50.13,1037.31,6.02
Fluticasone furoate (Inhalation),303.11,283.35,10982.27,20.56
Fluticasone propionate (Inhalation),85.35,79.8,2342.46,3.74
Fluticasone propionate (Nasal),46.19,43.2,1763.77,3.04
Fluticasone propionate (Topical),7.52,7.04,47.59,2.12
Fluticasone propionate/azelastine hydrochloride (Nasal),57.95,54.2,1273.61,13.83
Fluvastatin sodium,10.48,9.83,251.29,0.8
Fluvoxamine maleate,32.26,30.26,156.88,0.38
Folic acid,11.52,11.33,696.49,0.03
Fondaparinux sodium,290.29,271.35,653.44,29.46
Formaldehyde,19.19,17.95,115.0,0.08
Formoterol fumarate,46.64,43.61,644.0,22.2
Formoterol/glycopyrronium/budesonide,130.09,121.61,1996.48,41.59
Fosfomycin trometamol,16.83,15.76,272.52,4.39
Fosinopril sodium,7.12,6.68,29.17,1.33
Freeze sprays and gels,3.97,3.73,8.35,1.46
Fremanezumab,450.0,420.56,420.56,420.56
Frovatriptan,8.17,7.66,124.66,1.01
Fulvestrant,612.48,572.41,1464.68,244.22
Furosemide,10.94,10.73,681.7,0.02
Fusidic acid,27.23,25.5,503.65,1.79
Gabapentin,18.19,17.38,2168.16,0.03
Gabapentin (Neuropathic Pain),440.26,411.46,974.91,148.37
Galantamine,76.73,71.8,897.21,0.91
Galcanezumab,450.0,420.56,420.56,420.56
Gamolenic acid,37.25,34.93,317.58,1.69
Ganciclovir,28.81,26.94,149.48,18.68
Gauzes & Gauze Tissue,41.48,38.78,683.39,0.29
Gemfibrozil,53.3,49.89,254.48,4.27
Gentamicin sulfate,50.78,47.49,497.56,1.29
Glatiramer acetate,462.56,432.29,432.29,432.29
Glibenclamide,200.26,187.16,579.5,34.42
Gliclazide,15.82,14.96,925.19,0.07
Glimepiride,3.1,3.1,205.27,0.14
Glipizide,4.7,4.43,47.16,0.53
Glten free /wheat/free /low/protein cooking aids,8.32,7.8,7.8,7.8
Glucagon,25.81,24.16,341.12,10.77
Glucosamine hydrochloride (Rheumatic),26.79,25.15,87.39,5.76
Glucose,15.59,14.6,267.71,0.31
Glucose and ketone blood testing reagents,15.86,14.83,14.83,14.83
Glucose blood testing reagents,69.48,64.98,3551.57,4.22
Glutaraldehyde,2.72,2.55,5.84,1.93
Gluten free breads,26.88,25.39,420.64,1.51
Gluten free mixes,26.03,24.44,521.52,4.43
Gluten free pastas,9.45,8.85,12.59,6.83
Gluten free/low protein biscuits,14.19,13.32,118.47,2.31
Gluten free/low protein bread,14.26,13.54,119.83,2.61
Gluten free/low protein cereals,21.82,22.02,148.98,8.61
Gluten free/low protein drink,35.93,33.6,177.43,3.18
Gluten free/low protein grains/flours,15.07,14.41,564.23,5.24
Gluten free/low protein mixes,22.23,21.32,181.14,3.57
Gluten free/low protein pasta,14.21,13.87,224.31,2.07
Gluten free/wheat free grains/flours,10.28,11.59,47.31,3.66
Glycerol,7.92,7.45,157.03,0.23
Glyceryl trinitrate,31.74,29.74,559.48,0.96
Glycopyrronium bromide,223.9,209.3,31330.52,1.4
Glycopyrronium/formoterol,63.47,59.33,911.45,30.37
Goserelin acetate,357.94,334.53,5270.88,65.42
Granisetron,350.4,327.48,1465.39,52.35
Granisetron hydrochloride,172.43,161.2,548.47,38.14
Griseofulvin,58.75,54.98,654.85,11.93
Guaifenesin,6.39,6.0,21.41,2.15
Guanfacine,104.2,97.41,2562.44,4.49
Haemophilus influenzae B/meningococcal C,45.97,42.97,105.89,35.29
Halogenated phenols with phenol,9.73,9.11,19.64,3.33
Haloperidol,129.35,120.99,4458.92,0.19
Haloperidol decanoate,15.69,14.74,94.45,3.56
Hamamalis,5.59,5.24,99.54,3.32
Hamamelis,4.49,4.21,26.19,1.43
Heparin calcium,101.32,94.77,234.05,8.47
Heparin flushes,27.97,26.16,586.16,1.51
Heparin sodium,42.86,40.09,120.74,2.82
Heparinoid,12.6,11.79,403.91,2.42
Hepatitis A,65.16,60.89,1806.54,13.78
Hepatitis A/hepatitis B,83.9,78.41,1089.64,19.43
Hepatitis A/typhoid vaccine,135.35,126.49,1269.93,27.58
Hepatitis B,27.78,25.96,594.93,8.36
Hernia Support Garments,60.43,56.49,210.35,35.07
Hexetidine,4.42,4.15,16.4,1.48
House dust mites allergen extract,80.12,74.89,74.89,74.89
"Human papillomavirus (Type 6,11,16,18)",112.45,105.1,161.69,80.84
"Humpapvirus(Type 6,11,16,18,31,33,45,52,58)",221.67,207.17,981.27,98.13
Hydralazine hydrochloride,9.63,9.12,579.43,0.2
Hydrochlorothiazide,116.45,109.07,614.37,2.85
Hydrocort sodiumphos,20.97,19.61,123.28,2.5
Hydrocortisone,14.43,13.54,1892.46,0.19
Hydrocortisone (Sodium succinate),14.9,13.95,281.58,0.53
Hydrocortisone acetate,27.33,25.58,1284.43,2.71
Hydrocortisone butyrate,7.66,7.17,77.5,4.61
Hydrocortisone sodium phosphate,8.53,8.05,222.35,1.98
Hydrocortisone sodium succinate,4.75,4.48,102.84,0.86
Hydrogen peroxide,12.91,12.08,795.49,0.43
Hydromorphone hydrochloride,45.66,42.76,597.46,1.29
Hydroxocobalamin,45.34,42.65,1562.63,1.78
Hydroxycarbamide,17.12,16.28,1575.79,0.23
Hydroxychloroquine sulfate,9.15,8.81,422.09,0.05
Hydroxyzine hydrochloride,3.5,3.37,431.77,0.03
Hyetellose,32.59,30.48,313.94,0.55
Hyoscine,94.32,88.17,3849.21,6.13
Hyoscine butylbromide,23.16,21.76,755.37,0.22
Hyoscine hydrobromide,19.83,18.69,1087.2,0.25
Hypromellose,24.33,22.75,556.49,0.04
INR blood testing reagents,116.35,108.75,5889.56,68.48
Ibandronic acid,101.1,94.52,3027.01,1.78
Ibuprofen,18.01,16.91,1409.86,0.04
Ibuprofen lysine,16.18,15.15,102.18,1.97
Ibuprofen sodium dihydrate,15.78,14.84,42.48,3.96
Ichthammol,245.41,229.35,327.1,131.61
Icosapent,172.37,161.12,269.54,67.5
Ileostomy Bags,193.48,180.84,12961.41,2.43
Imatinib mesilate,1370.1,1280.48,3638.5,424.6
Imidapril hydrochloride,25.66,24.03,124.09,2.08
Imipramine hydrochloride,9.74,9.15,1869.11,0.24
Imiquimod,81.23,75.97,851.71,1.94
Inclisiran,81.59,76.26,462.6,51.4
Incontinence Belts,54.28,50.73,50.73,50.73
Incontinence Sheath Fixing Strips & Adh,23.95,22.46,153.5,0.55
Incontinence Sheaths,84.23,78.76,831.46,1.59
Indacaterol maleate,49.86,46.62,210.67,30.08
Indacaterol/glycopyrronium,147.5,137.9,3372.72,10.12
Indacaterol/mometasone,34.39,32.16,212.65,16.35
Indapamide,21.88,20.81,1282.28,0.14
Indometacin,4.68,4.41,523.22,0.19
Indoramin,111.62,104.43,646.8,4.13
Indwelling Pleural Cath Drain System,325.14,303.87,2170.08,17.55
Influenza,2711.49,2534.0,22759.83,7.48
Inhalation Solutions,32.72,30.61,630.24,0.37
Inosine pranobex,69.38,64.88,124.14,20.78
Ins degludec/liraglutide,217.04,202.88,2142.79,29.87
Insert For Female Stress Incont,65.02,62.48,1154.25,8.21
Insulin Lispro,83.55,78.11,1241.84,4.13
Insulin aspart,130.62,122.12,2832.33,2.93
Insulin degludec,148.2,138.56,3005.78,8.71
Insulin detemir,140.67,131.5,2433.88,7.85
Insulin glargine,136.19,127.34,3606.14,5.61
Insulin glargine/lixisenatide,93.88,87.76,252.35,15.25
Insulin glulisine,68.14,63.71,634.75,5.4
Insulin human,375.7,351.13,934.55,70.33
Iodine compounds,10.58,9.9,223.47,0.07
Ipratropium bromide,15.86,14.85,249.47,0.17
Irbesartan,9.75,9.23,1494.83,0.04
Irbesartan with diuretic,27.71,25.93,238.3,1.78
Iron and folic acid,3.73,3.55,140.19,0.24
Iron carboxymaltose,191.0,178.61,178.61,178.61
Iron dextran,38.08,35.61,111.72,7.45
Iron sucrose,31.91,29.87,40.68,8.24
Irrigation Solutions,18.61,17.43,4460.84,0.17
Irrigation Washout Appliances,41.86,39.19,691.72,1.59
Isavuconazole,449.46,420.1,560.06,280.14
Isocarboxazid,467.34,436.86,1396.78,29.21
Isometheptene mucate,11.32,10.6,26.28,3.94
Isoniazid,77.46,72.49,845.61,0.95
Isophane insulin,74.66,69.82,1866.86,3.68
Isopropyl alcohol,6.22,5.9,8.09,2.17
Isosorbide dinitrate,21.96,20.63,231.82,0.72
Isosorbide mononitrate,13.51,12.82,703.92,0.08
Isotretinoin,152.58,142.73,3134.69,0.56
Ispaghula husk,15.61,14.64,310.63,0.11
Itraconazole,14.96,14.07,1479.67,0.3
Ivabradine,21.83,20.53,450.52,0.93
Ivermectin,47.27,44.2,700.67,23.47
Jaw Rehabilitation Device,110.92,103.66,1759.03,2.57
Ketamine,138.27,129.25,459.07,23.66
Ketamine hydrochloride,89.36,83.85,621.58,25.85
Ketoconazole,28.48,26.66,867.99,3.36
Ketone blood testing reagents,50.73,47.44,820.28,8.38
Ketoprofen,17.89,16.75,503.56,2.22
Ketorolac trometamol,5.86,5.5,53.5,1.11
Ketotifen fumarate,13.7,12.84,869.08,0.82
Labetalol hydrochloride,11.3,10.61,944.07,0.52
Lacidipine,17.28,16.24,1920.67,0.2
Lacosamide,146.55,137.05,1665.38,0.83
Lactic acid,507.9,474.67,474.67,474.67
Lactulose,21.87,20.66,901.74,0.12
Lamivudine,107.42,100.5,415.96,10.36
Lamivudine/tenofovir disoproxil/doravirine,578.55,540.69,540.69,540.69
Lamotrigine,21.25,20.02,1543.36,0.03
Lanreotide,1008.63,943.85,2751.3,301.88
Lansoprazole,36.31,34.79,2936.38,0.03
Lanthanum carbonate,206.92,193.45,723.7,1.4
Latanoprost,33.13,31.04,746.4,1.33
Latanoprost and timolol,21.82,20.42,277.49,2.22
Leflunomide,7.66,7.18,390.61,2.28
Leg Bags,58.94,55.11,3737.39,2.01
Lenalidomide,163.14,152.57,152.57,152.57
Lenograstim,824.02,770.09,3506.8,37.48
Lercanidipine hydrochloride,68.51,64.25,4901.91,0.13
Letrozole,19.58,18.47,424.9,0.07
Leuprorelin acetate,524.72,490.44,6961.25,70.31
Levamisole hydrochloride,233.2,218.05,324.13,162.12
Levetiracetam,26.3,24.76,3997.94,0.12
Levobunolol hydrochloride,22.03,20.6,149.28,0.74
Levobupivacaine hydrochloride,2.82,2.64,2.64,2.64
Levocarnitine,765.97,716.83,5338.13,4.97
Levocetirizine,9.93,9.34,388.59,0.93
Levodopa/carbidopa/entacapone,80.05,74.93,544.03,0.44
Levofloxacin,29.25,27.4,214.2,0.95
Levomepromazine hydrochloride,33.62,31.54,489.44,1.99
Levomepromazine maleate,61.99,58.11,2606.45,0.34
Levonorgestrel,123.33,115.28,3948.1,0.19
Levothyroxine sodium,29.96,28.51,2775.45,0.03
Levothyroxine sodium and liothyronine,691.95,646.98,4116.88,26.9
Lidocaine,15.46,14.46,520.81,2.78
Lidocaine hydrochloride,45.99,43.02,3221.35,0.23
Lidocaine/prilocaine (Premature Ejaculation),59.99,56.08,56.08,56.08
Light liquid paraffin,10.83,10.14,190.15,2.76
Linaclotide,81.88,76.55,1123.64,35.1
Linagliptin,430.79,403.18,10540.91,1.22
Linagliptin/metformin,103.91,97.21,2394.33,7.89
Linezolid,596.31,557.34,2140.75,122.44
Lints,33.54,31.36,97.72,2.92
Liothyronine sodium,205.89,192.46,4747.71,8.03
Liquid paraffin,8.25,7.73,224.3,0.17
Liraglutide,235.01,219.69,3411.53,36.67
Lisdexamfetamine dimesylate,106.1,99.19,3911.44,1.93
Lisinopril,13.01,12.39,1152.2,0.08
Lisinopril with diuretic,7.01,6.59,149.12,0.52
Lithium carbonate,9.27,8.9,364.47,0.19
Lithium citrate,20.94,19.62,114.43,1.29
Lixisenatide,103.61,96.85,1624.15,27.07
Lodoxamide trometamol,7.95,7.45,39.05,4.87
Lofepramine hydrochloride,29.38,27.6,1178.15,0.57
Loperamide hydrochloride,11.47,10.82,1375.67,0.11
Loperamide hydrochloride and simeticone,24.56,22.99,171.44,1.99
Loprazolam mesilate,39.5,36.99,232.71,1.78
Loratadine,6.12,5.94,157.12,0.07
Lorazepam,23.25,21.88,709.95,0.07
Lormetazepam,27.85,26.13,166.08,2.33
Losartan potassium,59.32,55.77,1927.21,0.19
Losartan potassium with diuretic,22.22,20.8,564.95,1.3
Loteprednol etabonate,8.76,8.2,92.56,5.14
Low Friction Products,35.19,32.9,1452.39,1.81
Low protein biscuits,13.23,12.67,114.41,0.36
Low protein breads,28.46,28.55,188.44,2.22
Low protein cakes,11.97,12.75,94.87,5.94
Low protein cereals,25.4,23.75,164.32,8.23
Low protein cooking aids,15.27,14.28,47.92,8.24
Low protein desserts,19.6,19.89,494.84,2.37
Low protein grains/flours,20.69,19.89,101.54,8.81
Low protein meals,32.7,32.47,1190.44,5.07
Low protein miscellaneous,12.41,13.23,78.6,6.55
Low protein mixes,25.03,24.82,428.78,0.06
Low protein pastas,20.03,19.26,163.18,3.24
Low protein risotto,30.17,28.21,49.37,24.68
Low protein snacks,23.91,22.42,137.99,11.54
Lubricant Gels,5.36,5.01,514.0,0.15
Lurasidone,73.86,69.13,609.26,1.66
Lymecycline,34.76,32.56,570.44,0.28
Lymphoedema Garments,88.78,82.97,7037.04,0.0
Macitentan,2306.0,2155.07,2155.07,2155.07
Macrogol 3350,29.09,27.3,1866.4,0.09
Magnesium aspartate,55.31,51.82,1933.39,1.0
Magnesium carbonate,260.07,243.11,775.5,28.03
Magnesium citrate,106.12,100.63,1091.43,1.73
Magnesium glycerophosphate,95.43,89.34,2002.92,1.87
Magnesium hydroxide,13.87,13.0,202.56,3.01
Magnesium lactate,260.96,243.96,1952.18,6.62
Magnesium oxide,152.87,142.98,1443.32,8.81
Magnesium sulfate,4.64,4.38,81.18,0.49
Magnesium trisilicate,6.74,6.5,59.1,0.89
Malathion,18.7,17.49,320.18,9.41
Maltodextrin,25.53,23.87,213.55,1.91
Mannitol,231.66,216.51,216.51,216.51
"Measles, mumps and rubella vaccine",18.45,17.25,102.8,7.14
Mebendazole,1.92,1.85,43.47,0.21
Mebeverine hydrochloride,20.77,19.75,2796.2,0.14
Mebeverine hydrochloride compound preparations,47.83,44.74,417.71,1.37
Medicated stockings,44.9,42.01,544.81,3.24
Medroxyprogesterone acetate,24.54,23.02,999.75,0.35
Mefenamic acid,42.25,39.54,1714.71,0.65
Mefloquine hydrochloride,28.0,26.24,169.85,5.21
Megestrol acetate,34.01,31.86,1067.9,3.15
Melatonin,95.77,89.65,17106.22,0.48
Meloxicam,6.4,6.09,203.75,0.16
Melphalan,49.49,46.33,69.48,34.69
Memantine hydrochloride,11.81,11.27,1261.46,0.05
Menadiol sodium phosphate,101.45,94.93,472.17,4.33
Meningococcal A + C + W135 + Y vaccine,63.99,59.82,264.94,28.04
Meningococcal B vaccine,93.75,87.62,140.19,70.09
Menotrophin,432.43,404.2,808.5,134.73
Menthol,22.17,20.73,356.66,0.78
Mepacrine hydrochloride,162.84,152.31,533.17,19.15
Mepivacaine hydrochloride,3.21,3.0,41.03,0.41
Meptazinol hydrochloride,40.42,37.93,764.98,0.3
Mepyramine maleate,4.24,3.97,18.25,2.72
Mercaptamine,771.25,731.31,2485.89,130.85
Mercaptamine hydrochloride,414.62,387.48,553.46,284.77
Mercaptopurine,30.25,28.43,1918.25,0.85
Meropenem,481.13,449.71,1333.23,9.64
Mesalazine (Systemic),82.6,77.29,3496.21,0.17
Mesna,268.6,251.03,251.03,251.03
Metformin hydrochloride,33.87,31.97,2745.59,0.02
Metformin hydrochloride/pioglitazone,79.97,74.79,608.87,4.31
Metformin hydrochloride/sitagliptin,108.13,101.15,3171.08,4.0
Metformin hydrochloride/vildagliptin,68.51,64.13,1200.85,4.45
Methadone hydrochloride,37.93,36.23,9564.35,0.12
Methenamine hippurate,69.16,64.75,1469.65,0.64
Methocarbamol,28.8,27.07,636.73,0.24
Methotrexate,35.31,33.58,5409.81,0.07
Methoxy polyethylene glycol-epoetin beta,190.3,177.85,274.43,68.62
Methyl salicylate,6.39,5.98,134.42,1.5
Methyl salicylate/levomenthol,23.69,22.19,78.59,2.81
Methylcellulose,3.67,3.56,9.04,1.24
Methyldopa,55.13,51.61,986.79,1.74
Methylnaltrexone bromide,189.45,177.06,275.42,78.69
Methylphenidate hydrochloride,50.17,46.95,4122.42,0.21
Methylprednisolone,37.11,34.76,181.53,0.36
Methylprednisolone acetate,23.67,22.13,943.49,3.18
Methylprednisolone sodium succinate,20.1,18.8,44.88,4.45
Metoclopramide hydrochloride,10.25,9.66,1220.78,0.1
Metolazone,68.45,65.6,1151.47,0.22
Metoprolol tartrate,7.42,7.0,1018.38,0.07
Metronidazole,11.87,11.18,736.55,0.18
Metyrapone,596.87,557.92,2718.87,47.69
Mexiletine hydrochloride,1401.71,1310.03,7850.26,50.18
Mianserin hydrochloride,77.76,72.72,268.72,3.31
Miconazole,8.5,7.97,82.05,3.91
Miconazole nitrate,6.31,5.93,128.98,1.7
Micro-Enema - Sodium Citrate,8.71,8.19,73.1,0.51
Midazolam hydrochloride,60.72,56.83,4291.44,0.54
Midazolam maleate,220.71,206.31,24223.4,4.31
Midodrine hydrochloride,51.75,48.53,519.17,0.4
Minocycline hydrochloride,19.96,18.71,99.54,1.69
Minoxidil,27.87,26.14,321.24,0.66
Mirabegron,128.25,120.13,2575.77,0.91
Mirtazapine,12.16,11.87,548.93,0.04
Misoprostol,14.72,13.85,105.21,0.42
Misoprostol (Gynaecology),16.0,14.97,14.97,14.97
Mitotane,957.37,894.76,1237.23,552.3
Mizolastine,12.52,11.75,77.75,1.62
Moclobemide,51.92,48.64,308.64,3.6
Modafinil,15.55,14.62,738.62,0.22
Mometasone furoate,29.48,27.62,1102.74,3.21
Mometasone furoate/olopatadine hydrochloride,19.13,17.89,410.97,12.45
Mometasone/glycopyrronium/indacaterol,78.3,73.19,1372.6,41.59
Monobasic potassium phosphate,65.0,60.76,60.76,60.76
Montelukast,13.97,13.31,659.14,0.11
Morphine sulfate,18.99,17.94,10355.05,0.07
Morphine tartrate and cyclizine tartrate,17.54,16.42,16.42,16.42
Moxifloxacin,34.34,32.19,167.62,7.41
Moxifloxacin hydrochloride,14.72,13.77,73.32,9.16
Moxisylyte hydrochloride,112.78,105.44,168.64,63.35
Moxonidine,22.1,20.72,742.07,0.66
Mupirocin,10.48,9.82,251.43,3.96
Mycophenolate mofetil,42.34,39.71,689.24,0.17
Mycophenolic sodium,146.31,137.19,723.12,0.71
Nabilone,829.25,775.12,2564.39,256.55
Nabumetone,20.14,18.88,673.34,1.21
Nadolol,16.3,15.28,488.29,0.62
Nafarelin acetate,99.72,93.21,294.01,49.0
Naftidrofuryl oxalate,18.98,17.82,424.53,0.65
Naldemedine,53.32,49.91,234.01,4.29
Nalmefene,91.35,85.4,317.2,2.94
Naloxegol,74.9,70.14,515.99,3.55
Naloxone hydrochloride,45.25,42.39,84.17,24.31
Naltrexone hydrochloride,117.2,109.7,1905.84,2.83
Naltrexone/bupropion,86.85,81.23,204.68,0.72
Nandrolone decanoate,3.17,2.97,2.97,2.97
Naphazoline hydrochloride,3.05,2.87,7.99,1.99
Naproxen,21.55,20.31,1479.8,0.05
Naratriptan hydrochloride,8.19,7.68,214.24,0.37
Nasal Products,8.09,7.59,169.14,0.9
Nebivolol,31.84,29.85,665.7,0.16
Nedocromil sodium,3.81,3.58,5.36,2.69
Nefopam hydrochloride,14.24,13.5,510.84,0.16
Neomycin sulfate,5.78,5.44,121.36,1.86
Nepafenac,25.19,23.55,167.36,13.94
Nicardipine hydrochloride,10.88,10.25,53.87,0.76
Nicorandil,11.45,10.87,297.41,0.46
Nicotinamide,111.69,104.91,614.27,1.42
Nicotinates,4.37,4.1,19.27,1.81
Nicotine,47.04,43.98,2148.76,1.07
Nicotine bitartrate,25.01,23.62,204.59,3.16
Nifedipine,18.81,17.66,800.18,0.02
Night Drainage Bags,29.29,27.41,4253.13,0.3
Nimodipine,49.88,46.74,179.66,10.58
Nitrazepam,19.68,18.55,3652.96,0.21
Nitrofurantoin,58.24,54.91,3548.42,0.23
Nizatidine,88.47,82.77,1275.1,0.79
Nonoxinol 9,16.02,14.99,41.17,10.28
Norethisterone,12.75,11.97,233.79,0.14
Norethisterone enantate,20.25,18.94,18.94,18.94
Nortriptyline,8.13,7.78,919.64,0.04
Nystatin,8.37,7.87,283.65,1.36
Obeticholic acid,2384.04,2228.0,2228.0,2228.0
Octreotide acetate,891.14,832.84,2988.13,13.91
Oestrogens conjugated,5.05,4.78,37.63,0.27
Oestrogens conjugated with progestogen,8.98,8.42,48.84,0.4
Ofloxacin,36.75,34.45,336.02,2.03
Oils for the ear,3.84,3.61,9.35,0.92
Olanzapine,7.75,7.44,3104.04,0.07
Olanzapine embonate,664.07,620.64,2496.95,208.09
Olmesartan medoxomil,15.33,14.37,1404.18,0.28
Olmesartan medoxomil/amlodipine,32.4,30.3,412.01,4.07
Olmesartan medoxomil/amlodipine/hydrochlorothiazide,30.8,28.84,285.24,4.07
Olmesartan medoxomil/hydrochlorothiazide,24.46,22.89,121.09,1.41
Olodaterol,37.59,35.15,197.05,24.63
Olopatadine,13.13,12.29,192.71,4.37
Olsalazine sodium,293.66,274.51,1263.99,25.57
Omalizumab,256.15,239.4,239.4,239.4
Omega-3-acid ethyl esters,54.76,51.23,475.13,2.66
Omeprazole,58.7,55.49,3719.5,0.03
Ondansetron hydrochloride,29.93,28.04,1344.63,0.1
Opicapone,147.78,138.2,789.89,3.04
Opium and morphine,3.42,3.22,16.01,1.6
Oral Film Forming Agents,57.87,54.1,389.84,0.39
Oral rehydration salts,15.22,14.28,2564.39,0.42
Orlistat,116.31,108.77,1594.67,1.05
Orphenadrine hydrochloride,288.64,269.8,2441.74,0.65
Oseltamivir phosphate,19.85,18.57,72.07,2.88
Ospemifene,60.35,56.42,110.78,34.39
Other Appliances,18.43,17.27,5020.36,0.03
Other HIV infection preparations,580.24,542.3,1491.84,16.49
Other acid preparations,499.0,466.35,466.35,466.35
Other alcohol and saline preparations,1.47,1.39,1.39,1.39
Other amino acidandnutritional agent preparations,122.87,115.09,2300.17,1.24
Other antiperspirant preparations,14.95,13.98,43.0,4.31
Other antiviral preparations,1.58,1.49,1.49,1.49
Other barrier preparations,4.82,4.54,75.12,2.09
Other base/diluent/suspending agent/stabiliser preparations,67.68,63.27,1715.74,0.13
Other bisphosphonate and other preparations,28.98,27.17,41.33,17.89
Other calcium supplement preparations,34.03,31.84,179.77,3.99
Other camouflage preparations,24.01,28.87,365.05,6.43
"Other colour, flavour and sweetening preparations",19.83,18.54,29.67,14.83
Other compound vitamin/mineral formulation preparations,12.03,11.82,226.73,0.09
Other concentrated water preparations,58.57,54.76,473.59,10.46
Other cordial/soft drink preparations,64.05,59.88,419.9,0.74
Other digestive aid preparations,58.24,54.8,424.62,3.5
Other eczema preparations,43.75,43.57,131.78,13.94
Other emollient preparations,31.64,29.62,2855.97,0.12
Other enzyme preparations 0911020,58.5,55.26,4844.71,1.85
Other expectorantand demulcent cough preparations,4.25,4.01,6.16,2.79
Other eye tear/lubricant/astringent preparations,15.86,14.88,1363.96,4.08
Other food for special diet preparations,173.48,162.21,5583.53,0.78
Other food preparations,170.46,159.32,3209.61,0.83
Other health supplement preparations,12.14,11.64,886.41,0.07
Other homeopathic preparations,8.73,11.22,39.87,2.82
Other household and over the counter preparations,3.24,3.04,3.04,3.04
Other individually formulated bought in preparations,29.86,28.12,4205.51,0.0
Other lozenge and spray preparations,4.96,4.65,6.97,3.49
Other magnesium preparations,6.6,7.3,158.91,0.61
Other mineral formulation preparations,11.17,14.94,64.29,0.58
Other minor cut and abrasion preparations,2.35,2.21,2.21,2.21
Other miscellaneous topical preparations,37.5,38.66,929.88,3.77
"Other mouth wash, gargle and dentifrice preparations",6.46,6.06,17.88,1.34
Other multivitamin preparations,20.15,19.03,650.37,0.02
Other neuromuscularar transmisson preparations,1162.67,1086.58,1635.46,537.69
Other non-opioid analgesic preparations,8.63,8.08,27.67,3.47
Other oil preparations,3.61,3.44,55.99,0.22
Other oral iron preparations,17.93,16.78,98.78,3.64
Other osmotic laxative preparations,14.69,13.76,23.27,11.62
Other otitis external preparations,131.71,123.1,212.53,56.33
Other phosphate supplement preparations,29.11,27.31,2018.84,3.63
Other preparations,17.81,16.69,87.62,0.65
Other psoriasis preparations,9.03,8.5,15.21,3.15
Other purified water preparations,9.52,8.92,66.41,0.04
Other selenium preparations,15.35,15.87,250.61,0.39
Other shampoo and scalp preparations,74.46,69.59,243.83,26.63
Other single substance preparations,8.71,8.17,42.08,0.81
Other soothing haemorrhoidal preparations,4.0,3.75,17.17,2.14
Other sunscreening preparations,17.62,16.63,366.68,2.31
Other test for helicobacter pylori preparations,40.93,40.42,472.03,18.69
Other tincture preparations,13.9,13.0,13.0,13.0
Other toiletry preparations,12.2,11.45,246.04,0.65
Other topical anaesthetic and antipruritic preparations,3.57,3.35,5.02,2.52
Other topical corticosteroid preparations,55.55,51.93,382.53,32.69
Other topical nasal decongestant preparations,3.78,3.54,16.02,2.01
Other treatment of dry mouth preparations,3.37,3.2,25.92,2.11
Other urological pain preparations,303.63,283.77,1259.6,6.88
Other vaginal/vulva changes preparations,59.99,61.08,76.08,56.08
Other vitamin A preparations 0906011,15.77,15.93,48.53,1.91
Other vitamin B compound preparations,6.15,11.97,46.14,2.98
Other vitamin B preparations,431.05,403.22,9706.17,4.24
Other vitamin C (Ascorbic acid) preparations,0.31,0.4,0.4,0.4
Other x-ray contrast media preparations,128.33,120.0,327.1,16.47
Other zinc preparations,5.33,16.29,87.2,0.95
Oxandrolone,238.27,222.69,339.92,105.47
Oxazepam,9.79,9.22,92.2,0.26
Oxcarbazepine,45.22,42.39,915.17,0.34
Oxitriptan,49.92,65.76,103.4,21.12
Oxybuprocaine hydrochloride,8.68,8.12,19.76,0.5
Oxybutynin,28.96,27.18,4244.87,0.13
Oxycodone hydrochloride,41.4,38.78,4716.87,0.15
Oxycodone hydrochloride/naloxone hydrochloride,89.46,83.65,949.22,0.82
Oxytetracycline,10.31,9.67,148.87,0.16
Paliperidone,473.28,445.76,3522.19,22.84
Pancreatin,111.48,104.26,2323.54,0.02
Pantoprazole,7.64,7.28,504.66,0.04
Pantothenic acid (Calcium pantothenate),40.16,37.56,37.56,37.56
Paracetamol,39.79,37.51,2916.56,0.02
Paracetamol and caffeine,15.41,14.48,26.75,2.24
Paracetamol and ibuprofen,11.9,11.15,29.57,2.42
Paracetamol and phenylephrine hydrochloride,2.84,2.67,2.67,2.67
Paracetamol combined preparations,23.12,21.67,140.31,2.57
Paraffin hard,7.86,7.35,11.03,3.67
Paraffin soft white,5.54,5.2,98.71,0.26
Paraffin soft yellow,105.0,98.15,1991.71,0.13
Paraldehyde,53.97,50.6,180.23,10.48
Parecoxib sodium,66.73,62.39,211.88,26.48
Paricalcitol,68.09,63.69,129.8,32.56
Paromomycin sulfate,91.51,85.53,85.53,85.53
