Prescriber,Substancia,Quantidade
CHADDESLEY SURGERY,Atorvastatin,448
CHADSFIELD MEDICAL PRACTICE,Atorvastatin,788
CHADSMOOR MEDICAL PRACTICE,Atorvastatin,259
CHADWELL HEATH SURGERY,Atorvastatin,378
CHADWICK PRACTICE,Atorvastatin,1282
CHAGFORD HEALTH CENTRE,Atorvastatin,285
CHAINBRIDGE MEDICAL PARTNERSHIP,Atorvastatin,1366
CHALFONT ROAD SURGERY,Atorvastatin,317
CHALGROVE & WATLINGTON SURGERIES,Atorvastatin,542
CHALKHILL FAMILY PRACTICE,Colecalciferol,419
CHANCERY LANE SURGERY,Atorvastatin,770
CHANNEL VIEW MEDICAL GROUP,Atorvastatin,1406
CHAPEL END SURGERY,Atorvastatin,627
CHAPEL GROUP MEDICAL CENTRE,Atorvastatin,898
CHAPEL LANE SURGERY,Atorvastatin,1120
CHAPEL MEDICAL CENTRE,Atorvastatin,394
CHAPEL ROW SURGERY,Atorvastatin,604
CHAPEL STREET MEDICAL CENTRE,Atorvastatin,803
CHAPEL STREET SURGERY,Atorvastatin,1064
CHAPELFORD PRIMARY CARE CENTRE,Atorvastatin,289
CHAPELGREEN PRACTICE,Atorvastatin,1869
CHAPELTHORPE,Atorvastatin,922
CHAPELTOWN FAMILY SURGERY,Atorvastatin,302
CHARING SURGERY,Atorvastatin,814
CHARING UROLOGY,Omeprazole,2
CHARLES ROAD SURGERY,Atorvastatin,433
CHARLESTOWN MD,Atorvastatin,343
CHARLOTTE KEEL MEDICAL PRACTICE,Atorvastatin,1365
CHARLOTTE STREET SURGERY,Atorvastatin,114
CHARLTON FARM HOSPICE,Alginic acid compound preparations,1
CHARLTON HILL SURGERY,Omeprazole,807
CHARLTON HOUSE MEDICAL CENTRE,Atorvastatin,653
CHARLTON MEDICAL PRACTICE,Atorvastatin,1100
CHARNOCK HEALTH PRIMARY CARE CENTRE,Atorvastatin,747
CHARNWOOD MEDICAL GROUP,Lansoprazole,1005
CHARNWOOD SURGERY,Atorvastatin,190
CHARTER MEDICAL CENTRE,Atorvastatin,1279
CHARTFIELD SURGERY,Atorvastatin,570
CHARTWELL GREEN SURGERY,Omeprazole,360
CHASE CROSS MEDICAL CENTRE,Atorvastatin,486
CHASE MEADOW HEALTH CENTRE,Omeprazole,317
CHASTLETON MEDICAL GROUP,Atorvastatin,821
CHATFIELD MEDICAL CENTRE,Atorvastatin,618
CHATHAM STREET SURGERY,Atorvastatin,342
CHATSWORTH ROAD MEDICAL CENTRE,Atorvastatin,648
CHAUCER SURGERY,Omeprazole,283
CHAWTON HOUSE SURGERY,Atorvastatin,697
CHAWTON PARK SURGERY,Omeprazole,626
CHCCG COVID 19 TREATMENT CENTRE,Hydrocortisone,5
"CHCP - HESSLE, BROUGH, COTT, ANLABY",Miconazole nitrate,2
CHCP - POCK & GOOLE LOC TEAM,Clotrimazole,1
CHCP - URGENT CARE OOH,Flucloxacillin sodium,575
CHEADLE HULME MEDICAL GROUP,Atorvastatin,724
CHEADLE MEDICAL PRACTICE,Atorvastatin,758
CHEAM FAMILY PRACTICE,Atorvastatin,653
CHEAM GP CENTRE,Atorvastatin,1669
CHEDDAR MEDICAL CENTRE,Atorvastatin,634
CHEETHAM HILL PRIMARY CARE CENTRE,Atorvastatin,1079
CHELFORD SURGERY,Atorvastatin,612
CHELLS SURGERY,Atorvastatin,797
CHELMER MEDICAL PARTNERSHIP,Atorvastatin,1977
CHELMER VILLAGE SURGERY,Atorvastatin,210
CHELSFIELD SURGERY,Atorvastatin,399
CHELSTON HALL SURGERY,Atorvastatin,1445
CHELTENHAM LOCALITY NURSE PRESCRIBER,Midazolam hydrochloride,5
CHEPSTOW GARDENS MEDICAL CENTRE,Atorvastatin,359
CHERITON BISHOP SURGERY,Atorvastatin,488
CHERRY HINTON MEDICAL CENTRE,Atorvastatin,670
CHERRY MEDICAL PRACTICE,Atorvastatin,573
CHERRY TREE SURGERY,Atorvastatin,393
CHERRYMEAD SURGERY,Atorvastatin,479
CHERTSEY HEALTH CENTRE,Atorvastatin,964
CHESHIRE ROAD SURGERY,Atorvastatin,424
CHESSINGTON PARK SURGERY,Atorvastatin,523
CHESTER SURGERY,Atorvastatin,345
CHESTER-LE-ST GP EXTENDED ACCESS SERVICE,Amoxicillin,1
CHESTERFIELD HEALTH PROVIDER LTD,Paracetamol,26
CHESTNUT PRACTICE,Atorvastatin,710
CHET VALLEY MEDICAL PRACTICE,Lansoprazole,1039
CHEVELEY PARK MEDICAL CTR,Atorvastatin,537
CHEVIN MEDICAL CONSULTANCY ENT SERVICE,Emollients,31
CHEVIN MEDICAL PRACTICE,Atorvastatin,1472
CHEVIOT MEDICAL GROUP,Levothyroxine sodium,7
CHEVIOT ROAD SURGERY,Atorvastatin,801
CHEW MEDICAL PRACTICE,Atorvastatin,1273
CHICHELE ROAD SURGERY,Atorvastatin,275
CHICHESTER MIAMI GP ACCESS HUB,Amoxicillin,2
CHIDDINGFOLD SURGERY,Atorvastatin,489
CHIGWELL MEDICAL CENTRE,Atorvastatin,702
CHILCOTE PRACTICE,Atorvastatin,1272
CHILD & ADOLESCENT MENTAL HEALTH SERVICE,Methylphenidate hydrochloride,57
CHILD & FAMILY COMMUNITY PAEDIATRICIANS,Methadone hydrochloride,5
CHILD AND FAMILY SERVICES,Melatonin,50
CHILD DEVELOPMENT CENTRE BURY,Melatonin,7
CHILD DEVELOPMENT CENTRE CRAWLEY/HORSHAM,Melatonin,17
CHILD DEVELOPMENT CENTRE IPSWICH,Melatonin,4
CHILD DEVELOPMENT TEAM HOUNSLOW,Methylphenidate hydrochloride,1
CHILD HEALTH SERVICE,Melatonin,26
CHILDREN & ADOLESCENT MENTAL HEALTH,Fluoxetine hydrochloride,90
CHILDREN & YP DIR.,Emollients,2
CHILDREN AND FAMILIES DIVISION,Melatonin,565
CHILDREN'S HOSPICE SOUTH WEST,Midazolam hydrochloride,9
CHILDREN'S INTEGRATED ASTHMA AND WHEEZE,Beclometasone dipropionate,2
CHILDREN'S LD SERVICE,Melatonin,15
CHILDREN'S SERVICES,Fluticasone furoate,9
CHILDRENS CENTRE,Methylphenidate hydrochloride,115
CHILDRENS OUTPATIENTS,Amoxicillin,12
CHILDRENS SERVICES,Emollients,5
CHILLINGTON HEALTH CENTRE,Atorvastatin,612
CHILTERN HOUSE MED CENTRE,Atorvastatin,373
CHILWELL VALLEY AND MEADOWS PRACTICE,Atorvastatin,878
CHINEHAM MEDICAL PRACTICE,Omeprazole,822
CHINGFORD MEDICAL PRACTICE,Atorvastatin,679
CHIPPING CAMPDEN SURGERY,Atorvastatin,604
CHIPPING NORTON HEALTH CENTRE,Atorvastatin,2243
CHIPPING SURGERY,Atorvastatin,1082
CHISLEHURST MEDICAL PRACTICE,Atorvastatin,617
CHISWICK FAMILY DRS PRACTICE,Atorvastatin,135
CHISWICK FAMILY PRACTICE,Atorvastatin,795
CHISWICK HEALTH PRACTICE,Atorvastatin,455
CHISWICK PCN EXTENDED HOURS HUB,Nitrofurantoin,7
CHOBHAM & WEST END MEDICAL PRACTICE,Atorvastatin,588
CHOICE PLUS,Flucloxacillin sodium,16
CHOLMLEY GARDENS SURGERY,Levothyroxine sodium,288
CHOPWELL PRIMARY HEALTHCARE CENTRE,Atorvastatin,550
CHORLEYWOOD HEALTH CENTRE,Levothyroxine sodium,286
CHORLTON FAMILY PRACTICE,Atorvastatin,1388
CHOWDHURY,Atorvastatin,194
CHP LTD - BRANSHOLME,Atorvastatin,469
CHP LTD - FIELD VIEW,Atorvastatin,678
CHRISTCHURCH HALL SURGERY,Metformin hydrochloride,192
CHRISTCHURCH MEDICAL PRACTICE,Omeprazole,1550
CHRISTIANA HARTLEY MEDICAL PRACTICE,Atorvastatin,1066
CHS ENT SERVICE O/P DEPT,Betamethasone valerate,1
CHS GP SERVICE OOH,Phenoxymethylpenicillin (Penicillin V),2
CHS URGENT CARE CENTRE,Hydrocortisone,3
CHURCH AVENUE MEDICAL GROUP,Atorvastatin,965
CHURCH END MEDICAL CENTRE,Atorvastatin,818
CHURCH HILL SURGERY,Atorvastatin,704
CHURCH LANE - KHAN,Atorvastatin,345
CHURCH LANE HEALTH CENTRE,Atorvastatin,515
CHURCH LANE MEDICAL CENTRE,Atorvastatin,1387
CHURCH LANE SURGERY,Atorvastatin,3983
CHURCH LANGLEY MEDICAL PRACTICE,Atorvastatin,729
CHURCH ROAD,Atorvastatin,442
CHURCH ROAD MEDICAL PRACTICE,Atorvastatin,398
CHURCH ROAD SURGERY,Atorvastatin,1525
CHURCH STREET PARTNERSHIP,Atorvastatin,1560
CHURCH STREET PRACTICE,Atorvastatin,2034
"CHURCH STREET SURGERY, MARTOCK",Atorvastatin,989
CHURCH STRETTON MEDICAL CENTRE,Atorvastatin,464
CHURCH VIEW MEDICAL CENTRE,Atorvastatin,513
CHURCH VIEW SURGERY,Atorvastatin,2611
CHURCH WALK SURGERY,Atorvastatin,594
CHURCHDOWN SURGERY,Atorvastatin,970
CHURCHFIELDS MEDICAL PRACTICE,Atorvastatin,749
CHURCHFIELDS SURGERY,Atorvastatin,670
CHURCHILL MEDICAL CENTRE,Atorvastatin,1632
CHURCHMERE MEDICAL GROUP,Atorvastatin,2561
CHURCHSIDE MEDICAL PRACTICE,Atorvastatin,839
CHURCHTOWN MEDICAL CENTRE,Atorvastatin,1089
CIRCLE INTEGRATED CARE,Mometasone furoate,9
CIRENCESTER HEALTH GROUP,Atorvastatin,1418
CIS THREE BOROUGHS,Co-amoxiclav (Amoxicillin/clavulanic acid),2
CITY AND HACKNEY COMMUNITY ENT,Mometasone furoate,9
CITY HEALTH CENTRE,Atorvastatin,365
CITY HEALTH PRACTICE LTD,Atorvastatin,927
CITY ROAD MEDICAL CENTRE,Atorvastatin,438
CITY SQUARE MEDICAL GROUP,Atorvastatin,1325
CITY VIEW MEDICAL PRACTICE,Atorvastatin,1087
CITY WALLS MEDICAL CENTRE,Atorvastatin,1360
CITY WAY SURGERY,Atorvastatin,941
CITY-EARLY INTERVENTION IN PSYCHOSIS,Aripiprazole,6
CIVIC MEDICAL CENTRE,Atorvastatin,891
CLACTON COMMUNITY PRACTICES,Atorvastatin,3000
CLACTON GP ALLIANCE EA,Doxycycline hyclate,12
CLAIRE HOUSE,Lactulose,1
CLAPHAM FAMILY PRACTICE,Atorvastatin,792
CLAPHAM JUNCTION MEDICAL PRACTICE,Atorvastatin,201
CLAPHAM PARK GROUP PRACTICE,Atorvastatin,788
CLARE GUILDHALL SURGERY,Atorvastatin,313
CLAREMONT BANK SURGERY,Atorvastatin,459
CLAREMONT CLINIC,Atorvastatin,1310
CLAREMONT HOLYPORT SURGERY,Atorvastatin,852
CLAREMONT MEDICAL CENTRE,Atorvastatin,483
CLAREMONT MEDICAL PRACTICE,Atorvastatin,1212
CLARENCE MEDICAL CENTRE,Atorvastatin,410
CLARENDON LODGE MEDICAL CENTRE,Atorvastatin,596
CLARENDON MEDICAL CENTRE,Atorvastatin,1907
CLARENDON PARK ROAD HEALTH CENTRE,Atorvastatin,465
CLARENDON SURGERY,Atorvastatin,878
CLARKSON SURGERY,Atorvastatin,1291
CLAUGHTON MEDICAL CENTRE,Atorvastatin,1284
CLAVERLEY,Atorvastatin,403
CLAY CROSS MEDICAL CENTRE,Atorvastatin,811
CLAY LANE MEDICAL PRACTICE,Atorvastatin,520
CLAYHALL CLINIC,Atorvastatin,855
CLAYHILL MEDICAL PRACTICE,Lansoprazole,354
CLAYPATH & UNIVERSITY MEDICAL GROUP,Atorvastatin,921
CLAYS PRACTICE,Omeprazole,1420
CLAYTON BROOK SURGERY,Lansoprazole,284
CLCH DIABETES - MERTON,Other Appliances,16
CLCH HERTS VALLEY NMP,Lymphoedema Garments,138
CLEARWAYS,Methadone hydrochloride,990
CLECKHEATON GROUP PRACTICE,Lansoprazole,769
CLEE MEDICAL CENTRE,Atorvastatin,1956
CLEEVELANDS MEDICAL CENTRE,Atorvastatin,857
CLEGGS LANE MEDICAL PRACTICE/129,Atorvastatin,271
CLEMENT ROAD MEDICAL PRACTICE,Atorvastatin,304
CLEOBURY MORTIMER SURGERY,Omeprazole,501
CLERKENWELL MEDICAL PRACTICE,Levothyroxine sodium,328
CLEVEDON MEDICAL CENTRE,Atorvastatin,995
CLEVEDON MINOR INJURY UNIT,Flucloxacillin sodium,78
CLEVELAND SURGERY,Atorvastatin,1679
CLEVELEYS GROUP PRACTICE,Atorvastatin,1560
CLIFF HOUSE MEDICAL PRACTICE,Atorvastatin,485
CLIFFORD HOUSE MEDICAL CENTRE,Simvastatin,123
CLIFFORD ROAD SURGERY,Atorvastatin,519
CLIFT SURGERY,Omeprazole,537
CLIFTON COURT MEDICAL PRACTICE,Atorvastatin,1219
CLIFTON HAMPDEN SURGERY,Atorvastatin,288
CLIFTON HOUSE MEDICAL CENTRE,Atorvastatin,1335
CLIFTON LANE MEDICAL CENTRE,Atorvastatin,763
CLIFTON MEDICAL CENTRE,Atorvastatin,1354
CLIFTON MEDICAL PRACTICE,Atorvastatin,953
CLIFTON PARK HOSPITAL,Flucloxacillin sodium,2
CLIFTON RISE FAMILY PRACTICE,Atorvastatin,211
CLIFTON ROAD SURGERY,Atorvastatin,696
CLINICAL ASSESSMENT SERVICE,Nitrofurantoin,79
CLIVE MEDICAL PRACTICE,Atorvastatin,682
CLOCK TOWER SURGERY,Mirtazapine,267
CLOISTER ROAD SURGERY,Atorvastatin,569
CLOSE FARM SURGERY,Atorvastatin,795
CLOVER CITY PRACTICE,Atorvastatin,139
CLOVER GROUP PRACTICE,Colecalciferol,1306
CLOVER HEALTH CENTRE,Colecalciferol,393
CLOVER NORTH DARNALL HEALTH CENTRE,Atorvastatin,480
CMAGIC,Estradiol,12
CMFT CONTINENCE PRESCRIBING SERVICE,Catheters,157
CMHS CUMBERLAND,Quetiapine,13
CMHT ASSESSMENT TEAM,Aripiprazole,2
CMHT EAST,Venlafaxine,3
CMHT OP SURREY HEATH,Memantine hydrochloride,8
CMHT OP WAVERLEY,Donepezil hydrochloride,32
CMHT WOKINGHAM,Aripiprazole,1
CNWL-MK MEDICAL PRESCRIBER,Elastic Hosiery,5
CO-FORMATION (VILLA AND CO),Paracetamol,9
COACHMANS MEDICAL PRACTICE,Atorvastatin,522
COALWAY ROAD SURGERY,Atorvastatin,371
COASTAL AND RURAL HEALTH PARTNERSHIP,Amoxicillin,23
COASTAL HEALTH NORTH,Naproxen,8
COASTAL HEALTH SOUTH,Citalopram hydrobromide,2
COASTAL MEDICAL PARTNERSHIP,Atorvastatin,3026
COASTAL VILLAGES PRACTICE,Atorvastatin,1984
COBBS GARDEN SURGERY,Atorvastatin,405
COBHAM DAY SURGERY UNIT,Isotretinoin,14
COBHAM HEALTH CENTRE,Atorvastatin,541
COBRIDGE SURGERY,Atorvastatin,480
COBWEB AT VALE OF YORK,Other individually formulated bought in preparations,1
COCKFOSTERS MEDICAL CTRE,Atorvastatin,495
COCKHEDGE MEDICAL CENTRE,Ramipril,229
COFTON MEDICAL CENTRE,Atorvastatin,572
COGGES SURGERY,Atorvastatin,500
COLBY MEDICAL CENTRE,Atorvastatin,260
COLCHESTER MEDICAL PRACTICE,Atorvastatin,3047
COLEFORD FAMILY DOCTORS,Atorvastatin,1115
COLERIDGE MEDICAL CENTRE,Atorvastatin,999
COLINDALE MEDICAL CENTRE LP,Atorvastatin,434
COLLEGE GREEN MEDICAL PRACTICE,Atorvastatin,1023
COLLEGE LANE SURGERY,Atorvastatin,1046
COLLEGE ROAD SURGERY,Atorvastatin,734
COLLEGE STREET MEDICAL PRACTICE,Atorvastatin,430
COLLEGE SURGERY PARTNERSHIP,Atorvastatin,1788
COLLEGE WAY SURGERY,Atorvastatin,1010
COLLIERS WOOD SURGERY,Atorvastatin,670
COLLIERY COURT MEDICAL GROUP,Lansoprazole,868
COLLINGHAM CHURCH VIEW SURGERY,Atorvastatin,1271
COLLINGHAM MEDICAL CENTRE,Atorvastatin,776
COLLINGTON SURGERY,Atorvastatin,1452
COLLINGWOOD FAMILY PRACTICE,Atorvastatin,548
COLLINGWOOD HEALTH GROUP,Lansoprazole,2128
COLLINGWOOD ROAD SURGERY,Atorvastatin,260
COLNE MEDICAL CENTRE,Atorvastatin,1021
COLNE ROAD SURGERY,Atorvastatin,698
COLNE VALLEY GROUP PRACTICE,Atorvastatin,733
COLNEY HATCH LANE SURGERY,Atorvastatin,540
"COLNEY,COLERIDGE HSE & BRICKET WOOD MCS",Atorvastatin,291
COLORECTAL SURGERY-MERTON CCG,Diltiazem hydrochloride,3
COLSTERWORTH SURGERY,Atorvastatin,366
COLTISHALL MEDICAL PRACTICE,Atorvastatin,902
COLVILLE HEALTH CENTRE,Atorvastatin,716
COLWALL SURGERY,Atorvastatin,386
COMBE COASTAL PRACTICE,Atorvastatin,1608
COMBE DOWN SURGERY,Atorvastatin,689
COMBERTON SURGERY,Atorvastatin,866
COMBS FORD SURGERY,Omeprazole,821
COMM DIABETES CLINIC,Semaglutide,9
COMM GYNAECOLOGY CLINIC2,Levonorgestrel,9
COMMISCEO PRIMARY CARE SOLUTIONS OOH,Amoxicillin,6
COMMONFIELD RD SURGERY,Atorvastatin,759
COMMONWEALTH HEALTH CENTRE,Atorvastatin,492
COMMUNITAS CLINICS - BEXLEY COMM DERM,Tacrolimus,24
COMMUNITAS CLINICS INTERMEDIATE ENT,Nasal Products,14
COMMUNITY (SLK) DERMATOLOGY SERVICE,Betamethasone valerate,9
COMMUNITY ANTICOAG SERVICE LIVERPOOL,Dalteparin sodium,27
COMMUNITY ASSESSMENT UNIT,Amoxicillin,2
COMMUNITY CAMHS,Sertraline hydrochloride,109
COMMUNITY CARDIOLOGY SERVICE,Furosemide,3
COMMUNITY CARE (SW),Amoxicillin,51
COMMUNITY CHILDREN'S NURSE,Macrogol 3350,1
COMMUNITY COPD CLINIC,Other Appliances,3
COMMUNITY COPD SERVICE,Acetylcysteine,2
COMMUNITY CVD SERVICE,Bisoprolol fumarate,17
COMMUNITY DERMATOLOGY CLINIC,Isotretinoin,20
COMMUNITY DERMATOLOGY SERVICE,Emollients,86
COMMUNITY DERMATOLOGY SERVICE NHS H&R,Isotretinoin,36
COMMUNITY DERMATOLOGY SOUTHWARK GSTT,Emollients,14
COMMUNITY DERMATOLOGY SOUTHWARK SERVICE,Emollients,9
COMMUNITY DERMATOLOGY YHP,Amoxicillin,1
COMMUNITY DIABETES CLINIC,Detection Sensor Interstitial Fluid/Gluc,1
COMMUNITY DIABETES CLINICS,Other Appliances,7
COMMUNITY DIABETES SERVICE,Other Appliances,73
COMMUNITY DIABETES SPECIALIST SERVICE,Other Appliances,6
COMMUNITY DIABETES TEAM,Other Appliances,8
COMMUNITY ENT,Dexamethasone,5
COMMUNITY ENT SERVICE,Betamethasone sodium phosphate,37
COMMUNITY FRAILTY SERVICE,Macrogol 3350,1
COMMUNITY FRAILTY SERVICE (EAST KENT),Clotrimazole,2
COMMUNITY GERIATRICIAN SERVICE,Macrogol 3350,9
COMMUNITY GERIATRICIANS,Enteral nutrition,39
COMMUNITY GYNAE SERVICE,Levonorgestrel,5
COMMUNITY GYNAECOLOGY CLINIC NH,Estriol,9
COMMUNITY GYNAECOLOGY SERVICE,Flucloxacillin sodium,10
COMMUNITY HEALTH CENTRE (ZS OSAMA),Atorvastatin,1645
COMMUNITY HEALTH NEWHAM,Wound Management & Other Dressings,1008
COMMUNITY HEALTH SERVICES,Other Appliances,62
COMMUNITY HEART FAILURE TEAM,Sacubitril/valsartan,43
COMMUNITY HOSPICE SERVICES,Lymphoedema Garments,70
COMMUNITY LEARNING DISABILITIES TEAM,Zuclopenthixol hydrochloride,2
COMMUNITY MAS BICS,Donepezil hydrochloride,4
COMMUNITY MEDICAL STAFFING-PEACE,Melatonin,65
COMMUNITY MEDICAL STAFFING-ST ALBANS,Melatonin,58
COMMUNITY NON MEDICAL PRESCRIBING,Lymphoedema Garments,139
COMMUNITY NON-MEDICAL PRESCRIBERS,Wound Management & Other Dressings,306
COMMUNITY NURSE PRESCRIBERS,Wound Management & Other Dressings,323
COMMUNITY NURSE SERVICE,Wound Management & Other Dressings,72
COMMUNITY NURSES,Furosemide,1
COMMUNITY NURSES (IPCT) B&H CENTRAL,Other Appliances,15
COMMUNITY NURSES (IPCT) B&H EAST,Other Appliances,10
COMMUNITY NURSES (IPCT) B&H WEST,Other Appliances,2
COMMUNITY NURSES BRENT CCG,Wound Management & Other Dressings,178
COMMUNITY NURSING,Wound Management & Other Dressings,1382
COMMUNITY NURSING (ER),Oxycodone hydrochloride,57
COMMUNITY NURSING (H&R),Lymphoedema Garments,51
COMMUNITY NURSING (HARROGATE),Sacubitril/valsartan,9
COMMUNITY NURSING (SOUTH TEES),Other Appliances,48
COMMUNITY OPHTHALMOLOGY SERVICE,Latanoprost,44
COMMUNITY OPHTHALMOLOGY TEAM,Dexamethasone,36
COMMUNITY OPTHALMOLOGY SERVICE,Eye Products,2
COMMUNITY PAEDIATRIC NURSING,Melatonin,17
COMMUNITY PAEDIATRIC SERVICE,Methylphenidate hydrochloride,275
COMMUNITY PAEDIATRICIAN,Methylphenidate hydrochloride,21
COMMUNITY PAEDIATRICIAN SERVICE (HULL),Ropinirole hydrochloride,1
COMMUNITY PAEDIATRICIANS,Methylphenidate hydrochloride,117
COMMUNITY PAEDIATRICIANS-LAMBETH,Melatonin,10
COMMUNITY PAEDIATRICIANS-SOUTHWARK,Melatonin,6
COMMUNITY PAEDIATRICS TLCO,Methylphenidate hydrochloride,47
COMMUNITY PAEDS,Methylphenidate hydrochloride,4
COMMUNITY PALLIATIVE CARE,Dexamethasone,1
COMMUNITY PALLIATIVE CARE MEDICAL TEAM,Fentanyl,5
COMMUNITY PALLIATIVE CARE TEAM,Amitriptyline hydrochloride,1
COMMUNITY PODIATRY SERVICE,Doxycycline hyclate,3
COMMUNITY PRESCRIBERS,Ramipril,5
COMMUNITY RESPIRATORY SERVICE,Morphine sulfate,4
COMMUNITY RESPIRATORY TEAM,Prednisolone,5
COMMUNITY RESPONCE TEAM,Amoxicillin,29
COMMUNITY SERVICES,Lymphoedema Garments,313
COMMUNITY SERVICES NURSE PRESCRIBERS,Lymphoedema Garments,60
COMMUNITY SPECIALIST COLORECTAL SERVICE,Betamethasone valerate,1
COMMUNITY SPECIALIST NURSE PRESCRIBERS,Wound Management & Other Dressings,168
COMMUNITY STOMA PRESCRIPTION SERVICE,Adhesive Removers (Sprays/Liquids/Wipes),461
COMMUNITY STROKE REHABILITATION TEAM,Atorvastatin,1
COMMUNITY SUBSTANCE MISUSE TEAM,Methadone hydrochloride,1400
COMMUNITY TISSUE VIABILITY SERVICE,Elastic Hosiery,1
COMMUNITY URGENT CARE,Amoxicillin,42
COMMUNITY UROLOGY CLINIC,Co-codamol (Codeine phosphate/paracetamol),1
COMMUNITY/SLH DAY CASE PALLIATIVE CARE,Oxycodone hydrochloride,28
COMPASS HEALTH,Enteral nutrition,784
COMPASS HOUSE MEDICAL CENTRES,Atorvastatin,1985
COMPASS MEDICAL PRACTICE,Mirtazapine,85
COMPTON HOSPICE,Morphine sulfate,5
COMPTON HOSPICE INPATIENT UNIT,Oxycodone hydrochloride,6
COMPTON PALLIATIVE CARE TEAM,Morphine sulfate,23
CONCEPT HOUSE SURGERY,Atorvastatin,662
CONCORD MEDICAL CENTRE,Atorvastatin,1097
CONCORD MEDICAL PRACTICE,Lansoprazole,646
CONIFER HOUSE SEXUAL HEALTH CLINIC,Aciclovir,3
CONISBROUGH GROUP PRACTICE,Lansoprazole,1271
CONISBROUGH MEDICAL PRACTICE,Atorvastatin,120
CONISTON MEDICAL PRACTICE,Atorvastatin,731
CONNAUGHT SQUARE PRACTICE,Atorvastatin,373
CONNECT HEALTH HERTS VALLEYS MSK SERVICE,Allopurinol,1
CONNECT HEALTH WOLVERHAMPTON MSK,Folic acid,1
CONNER & PARTNERS,Atorvastatin,926
CONRAN MEDICAL CENTRE,Atorvastatin,643
CONSETT MEDICAL CENTRE,Atorvastatin,2648
CONSTABLE COUNTRY RURAL MEDICAL PRACTICE,Levothyroxine sodium,1091
CONSULTANT - ST BENEDICT,Co-beneldopa (Benserazide/levodopa),1
CONSULTANT DERMATOLOGIST(SUNDERLAND),Emollients,30
CONSULTANT DERMATOLOGY CLINIC,Ciclosporin,13
CONSULTING ROOMS,Atorvastatin,499
CONTINENCE & STOMA SERVICE,Adhesive Removers (Sprays/Liquids/Wipes),318
CONTINENCE AND STOMA SERVICE,Adhesive Removers (Sprays/Liquids/Wipes),271
CONTINENCE NURSING SERVICE,Catheters,190
CONTINENCE PRESCRIBING SERVICE,Night Drainage Bags,224
CONTINENCE PRESCRIPTION SERVICE,Catheters,392
CONTINENCE PRODUCT PRESCRIPTION SERVICE,Night Drainage Bags,148
CONTINENCE SERVICE CGH,Anal Irrigation System,3
CONTINENCE SERVICE PROJECT,Night Drainage Bags,211
CONWAY MEDICAL CENTRE,Atorvastatin,1045
CONWAY PMS,Atorvastatin,314
CONWAY ROAD MEDICAL PRACTICE,Atorvastatin,784
COOK LANE SURGERY,Atorvastatin,372
COOKHAM MEDICAL CENTRE,Atorvastatin,509
COPD MANAGEMENT TEAM,Other Appliances,10
COPPICE SURGERY,Atorvastatin,1032
COPPULL MEDICAL PRACTICE,Atorvastatin,799
COPSEWOOD MEDICAL CENTRE,Atorvastatin,607
COQUET MEDICAL GROUP,Atorvastatin,1620
CORBETT MEDICAL PRACTICE,Atorvastatin,789
CORBRIDGE HEALTH CENTRE,Atorvastatin,699
CORBY URGENT CARE CENTRE,Flucloxacillin sodium,457
CORDWALLIS ROAD SURGERY,Metformin hydrochloride,262
CORE CARE FAMILY PRACTICE,Atorvastatin,330
CORFE CASTLE SURGERY,Ramipril,353
CORNBROOK MEDICAL PRACTICE,Atorvastatin,581
CORNER PLACE SURGERY,Atorvastatin,1728
CORNERSTONE FAMILY PRACTICE,Atorvastatin,675
CORNERSTONE MEDICAL PRACTICE,Atorvastatin,323
CORNERSTONE PRACTICE,Atorvastatin,774
CORNERSTONE SURGERY,Atorvastatin,359
CORNERWAYS MEDICAL CENTRE,Atorvastatin,1768
CORNERWAYS SURGERY,Atorvastatin,536
CORNFORD HOUSE SURGERY,Atorvastatin,869
CORNHILL SURGERY,Atorvastatin,358
CORNISHWAY GROUP PRACTICE,Atorvastatin,822
CORNWALL 111 OOH,Nitrofurantoin,233
CORNWALL HEALTH FOR HOMELESS,Mirtazapine,95
CORNWALL HOUSE SURGERY,Atorvastatin,245
CORPORATE DIVISION,Lymphoedema Garments,1
COSELEY MEDICAL CENTRE,Atorvastatin,508
COSSINGTON PARK SURGERY,Atorvastatin,1428
COTMORE SURGERY,Atorvastatin,159
COTSWOLD MEDICAL PRACTICE,Atorvastatin,1340
COTTAGE LANE SURGERY,Lansoprazole,191
COTTENHAM SURGERY,Atorvastatin,270
COTTERILS LANE SURGERY,Atorvastatin,96
COULBY MEDICAL PRACTICE,Lansoprazole,884
COUNTESS MOUNTBATTEN HOSPICE,Morphine sulfate,5
COUNTESTHORPE HEALTH CENTRE,Lansoprazole,646
COUNTRY PARK PRACTICE,Atorvastatin,423
COUNTY SURGERY,Amlodipine,382
COURT STREET MEDICAL PRACTICE,Atorvastatin,468
COURT THORN SURGERY,Atorvastatin,366
COURT VIEW SURGERY,Atorvastatin,542
COURTSIDE SURGERY,Atorvastatin,916
COURTYARD SURGERY,Atorvastatin,321
COVENT GARDEN MEDICAL CENTRE,Atorvastatin,385
COVENTRY - COVID HUB,Fusidic acid,1
COVENTRY CRHT,Olanzapine,4
COVENTRY GP GROUP OF PRACTICES,Atorvastatin,831
COVENTRY NAVIGATION 1 PCN EXTENDED HOURS,Amoxicillin,7
COVENTRY ROAD MEDICAL CENTRE,Atorvastatin,361
