Prescribers,Novo
DR P SURESH BABU,Sim
DR PASQUALI,Sim
DR PM PATEL,Sim
DR PS BATH'S PRACTICE,Sim
"DR PUZEY,DR KOTHARI AND DR NANDA",Sim
DR R BAGHDJIAN SURGERY,Sim
DR R CHIBBER'S PRACTICE,Sim
DR R KAPUR & PARTNERS,Sim
DR R KHANCHANDANI'S PRACTICE,Sim
DR RAHIL'S SURGERY,Sim
DR RAOLU'S PRACTICE,Sim
DR RASOOL,Sim
"DR RK KUKAR, PARKVIEW CTR FOR H&W",Sim
DR ROBINSON & PARTNERS,Sim
DR RS DURSTON'S PRACTICE,Sim
DR S HUSSAIN,Sim
DR S M CHEN & PARTNER,Sim
DR S MORCOS,Sim
DR S PHILLIPS AND DR M PATEL PRACTICE,Sim
DR S SHAFI,Sim
DR SALAKO AND PARTNERS,Sim
DR SANOMI,Sim
DR SEABROOK,Sim
DR SEGARAJASINGHE,Sim
DR SHANTIR PRACTICE,Sim
DR SHARMA & PARTNERS,Sim
DR SIMS AND PARTNERS,Sim
DR SINGH M,Sim
DR SINHA & PARTNERS,Sim
DR SINHA & TAHIR,Sim
DR SIVANESAN & PARTNER,Sim
DR SJC CLAY'S PRACTICE,Sim
DR SN CLAY AND PARTNERS,Sim
DR SOLWAY & DR MALLICK PRACTICE,Sim
DR SOOD'S PRACTICE,Sim
DR SOORIAKUMARAN,Sim
DR SP TALPAHEWA,Sim
DR SPENCER & PARTNERS,Sim
DR ST PIERRE-LIBBERTON,Sim
DR STEPHENSON & PARTNERS,Sim
DR SUGUMAR AND PARTNER,Sim
DR SUMIRA,Sim
DR SZ HAIDER'S PRACTICE,Sim
DR T KRISHNAMURTHY,Sim
DR T P FOX & PARTNERS,Sim
DR THORNILEY-WALKER & PARTNERS,Sim
DR TUN & PARTNERS,Sim
DR U AKBAR,Sim
DR U K ROY,Sim
DR UI HAQUE N,Sim
"DR UPPAL & PARTN, PARKVIEW CTR FOR H&W",Sim
DR VARDHAN'S SURGERY,Sim
DR VASANTH,Sim
DR VM PATEL,Sim
DR WALJI AND COLLEAGUES,Sim
DR WEBB AND PARTNERS,Sim
DR WHM MATTA'S PRACTICE,Sim
DR WONG AND PARTNERS,Sim
DR YADAVA N PRACTICE,Sim
DR YASIN SA PRACTICE,Sim
DR. J BARRELL & PARTNERS,Sim
DRAYTON MEDICAL PRACTICE,Sim
DRONFIELD MEDICAL PRACTICE,Sim
DROYLSDEN MEDICAL PRACTICE,Sim
DROYLSDEN RD FAMILY PRACTICE,Sim
DRS ADEY AND DANCY,Sim
DRS HANIF &  BANNURU,Sim
DRS LAMBERT & NG,Sim
DRS MIRZA SUKHANI & PARTNERS,Sim
DRS RAUT AND THOUFEEQ,Sim
DRS SHAH & TALPUR,Sim
DRS. PALACIN & GUYLER,Sim
DRUG AND ALCOHOL ACTION TEAM,Sim
DRUID GROUP - EMC SURGERY,Sim
DRUIDS HEATH SURGERY,Sim
DRYBROOK SURGERY,Sim
DRYLAND MEDICAL CENTRE,Sim
DUCHESS OF KENT HOUSE,Sim
DUDDON VALLEY MEDICAL PRACTICE,Sim
DUDLEY COMMUNITY PALLIATIVE MEDICINE,Sim
DUDLEY COMMUNITY SERVICES,Sim
DUDLEY URGENT CARE CENTRE OOH,Sim
DUDLEY WOOD SURGERY,Sim
DUKE MEDICAL CENTRE,Sim
DUKE STREET SURGERY,Sim
DUKINFIELD MEDICAL PRACTICE,Sim
DUNCAN STREET PRIMARY CARE CENTRE,Sim
DUNCHURCH SURGERY,Sim
DUNELM MEDICAL PRACTICE,Sim
DUNROBIN STREET MEDICAL CENTRE,Sim
DUNSTAN VILLAGE GROUP PRACTICE,Sim
DUNSTER & PORLOCK SURGERIES,Sim
DUNSVILLE MEDICAL CENTRE,Sim
DURHAM DALES EAST DERMATOLOGY,Sim
DURHAM DALES VAWAS,Sim
DURHAM DALES WEST DERMATOLOGY,Sim
DURNFORD DERMATOLOGY CATS,Sim
DURNFORD MEDICAL CENTRE,Sim
DYKES HALL MEDICAL CENTRE,Sim
DYNELEY HOUSE SURGERY,Sim
DYSART SURGERY,Sim
E & N BIRMINGHAM PCT'S OOH SERVICE,Sim
E HARLING & KENNINGHALL MEDICAL PRACTICE,Sim
E/N HERTS AIVHS,Sim
E12 HEALTH,Sim
E12 MEDICAL CENTRE,Sim
EAGLE HOUSE SURGERY,Sim
EAGLESCLIFFE MEDICAL PRACTICE,Sim
EALING ADULT LEARNING DISABILITY,Sim
EALING GP ACCESS CENTRES,Sim
EALING PARK HEALTH CENTRE,Sim
EARL MOUNTBATTEN HOSPICE,Sim
EARLE ROAD MEDICAL CENTRE,Sim
EARLS BARTON MEDICAL CENTRE,Sim
EARLS COURT MEDICAL CENTRE,Sim
EARLS COURT SURGERY,Sim
EARLSFIELD SURGERY,Sim
EARLY INTERVENTION TEAM - COVENTRY,Sim
EARNSWOOD MEDICAL CENTRE,Sim
EAST & WEST BASILDON PCN ACCESS HUB,Sim
EAST ALLIANCE NMPS (ALLINGTON CLINIC),Sim
EAST ALLIANCE NMPS (BLUEBIRD LODGE),Sim
EAST BANK MEDICAL CENTRE,Sim
EAST BARNET HEALTH CENTRE,Sim
EAST BARNWELL HEALTH CENTRE,Sim
EAST BERKS PRIMARY CARE OOH(WAM),Sim
EAST BRIDGFORD MED CENTRE,Sim
EAST CHESHIRE COMMUNITY NMPS,Sim
EAST CLIFF MEDICAL PRACTICE,Sim
EAST COAST COMMUNITY HEALTHCARE,Sim
EAST COWES MEDICAL CENTRE,Sim
EAST CROYDON MEDICAL CENTRE,Sim
EAST DURHAM MEDICAL GROUP,Sim
EAST END MEDICAL CENTRE,Sim
EAST ENFIELD PRACTICE,Sim
EAST FINCHLEY MEDICAL CENTRE,Sim
EAST HILL SURGERY,Sim
EAST HULL FAMILY PRACTICE,Sim
EAST KENT ALLIANCE UTCS,Sim
EAST KENT DRUG AND ALCOHOL SERVICE,Sim
EAST LANCASHIRE ALLIANCE,Sim
EAST LANCASHIRE HOSPICE,Sim
EAST LANCS MEDICAL SERVICE OOH,Sim
EAST LEICESTER MED PRACT(S LONGWORTH),Sim
EAST LINDSEY GP EXTENDED ACCESS HUB,Sim
EAST LINDSEY MEDICAL GROUP,Sim
EAST LYNNE MEDICAL CENTRE,Sim
EAST NORFOLK MEDICAL PRACTICE,Sim
EAST NORWICH MEDICAL PARTNERSHIP,Sim
EAST PARADE SURGERY,Sim
EAST PARK MEDICAL CENTRE,Sim
EAST PARK MEDICAL CENTRE (RP PANDYA),Sim
EAST PARK MEDICAL PRACTICE,Sim
EAST PARK PRACTICE,Sim
EAST QUAY MEDICAL CENTRE,Sim
EAST RIDING PARTNERSHIP,Sim
EAST SHORE PARTNERSHIP,Sim
EAST SUSSEX DERMATOLOGY SERVICE,Sim
EAST TREES HEALTH CENTRE,Sim
EAST WING PRACTICE,Sim
"EASTBOURNE, HAILSHAM & SEAFORD OOH",Sim
EASTBURY SURGERY,Sim
EASTCOURT LANE SURGERY,Sim
EASTERN CHESHIRE OOH SERVICE,Sim
EASTFIELD HOUSE SURGERY,Sim
EASTFIELD MEDICAL CENTRE,Sim
EASTGATE MEDICAL GROUP,Sim
"EASTGATE MEDICAL GROUP, HORNSEA",Sim
EASTGATE SURGERY,Sim
EASTHAM GROUP PRACTICE,Sim
EASTHAMPSTEAD SURGERY,Sim
EASTLANDS MEDICAL CENTRE,Sim
EASTMEAD AVENUE SURGERY,Sim
EASTMOOR HEALTH CENTRE,Sim
EASTVIEW SURGERY,Sim
EASTWICK PARK MED.PRACT.,Sim
EASTWOOD GROUP PRACTICE,Sim
EASTWOOD PRIMARY CARE CENTRE,Sim
EATING DISORDERS,Sim
ECCLESFIELD GROUP PRACT,Sim
ECCLESHILL VILLAGE SURGERY,Sim
ECCLESTON MEDICAL CENTRE,Sim
ECH OPD,Sim
ECH WARD,Sim
EDEN COURT MEDICAL PRACTICE,Sim
EDEN MEDICAL GROUP,Sim
EDEN PARK SURGERY,Sim
EDEN SURGERY,Sim
EDENBRIDGE MED PRACTICE,Sim
EDENFIELD ROAD SURGERY,Sim
EDGE HILL HEALTH @ MOSSLEY HILL SURGERY,Sim
EDGE HILL HEALTH CENTRE,Sim
EDGWARE WIC,Sim
EDGWICK MEDICAL CENTRE,Sim
EDGWORTH MEDICAL CENTRE,Sim
EDITH CAVELL PRACTICE,Sim
EDLESBOROUGH SURGERY,Sim
EDLINGTON HEALTH CENTRE PRACTICE,Sim
EGERTON/DUNSCAR HEALTH CENTRE,Sim
EGREMONT MED CTR,Sim
EGTON SURGERY,Sim
EIGHTLANDS SURGERY,Sim
ELBOROUGH STREET SURGERY,Sim
ELBURY MOOR MEDICAL CENTRE,Sim
ELDENE SURGERY,Sim
ELEANOR CROSS HEALTHCARE,Sim
ELFT CHSB CARDIOLOGY NURSING,Sim
ELFT CHSB COMMUNITY NURSING,Sim
ELFT CHSB COMPLEX CARE TEAM,Sim
ELFT CHSB MACMILLAN NURSING,Sim
ELFT CHSB NEUROLOGY NURSING,Sim
ELGAR HOUSE,Sim
ELGIN CLINIC,Sim
ELHT NMPS,Sim
ELIZABETH AVENUE GROUP PRACTICE,Sim
ELIZABETH HOUSE MEDICAL PRACTICE,Sim
"ELIZABETH WARD - VICTORIA HOSPITAL, DEAL",Sim
ELLENBROOK MEDICAL CENTRE,Sim
ELLERGREEN MEDICAL CENTRE,Sim
ELLIOTT HALL MEDICAL CTR.,Sim
ELLIOTT STREET SURGERY,Sim
ELLIS PRACTICE,Sim
ELLISON VIEW SURGERY,Sim
ELM HAYES SURGERY,Sim
ELM HOUSE SURGERY,Sim
ELM LANE SURGERY,Sim
ELM LODGE SURGERY,Sim
ELM SURGERY,Sim
ELM TREE SURGERY,Sim
ELMBANK SURGERY,Sim
ELMHAM SURGERY,Sim
ELMS MEDICAL PRACTICE,Sim
ELMSTEAD MEDICAL CLINIC,Sim
ELMSWOOD SURGERY,Sim
ELMTREES SURGERY,Sim
ELMWOOD FAMILY DOCTORS,Sim
ELMWOOD MEDICAL CENTRE,Sim
ELSDALE STREET SURGERY,Sim
ELSDON AVENUE SURGERY,Sim
ELSENHAM SURGERY,Sim
ELSWICK FAMILY PRACTICE,Sim
ELTHAM MEDICAL PRACTICE,Sim
ELTHAM PALACE PMS,Sim
ELTHORNE PARK SURGERY,Sim
ELVINGTON MEDICAL PRACTICE,Sim
EMERGENCY DEPARTMENT,Sim
EMERSONS GREEN MEDICAL CENTRE,Sim
EMMER GREEN SURGERY,Sim
EMMETT CARR SURGERY,Sim
EMPEROR'S GATE CENTRE FOR HEALTH,Sim
EMPINGHAM MEDICAL CENTRE,Sim
EMSWORTH SURGERY,Sim
END OF LIFE SERVICES,Sim
ENDEAVOUR SUITE,Sim
ENDERBY MEDICAL CENTRE,Sim
ENDERLEY ROAD MEDICAL CENTRE,Sim
ENFIELD COMMUNITY SERVICES,Sim
ENGLETON HOUSE SURGERY,Sim
ENHANCED GP SERVICE,Sim
ENHCCG NURSE PRESCRIBERS,Sim
EPSOM DAY SURGERY UNIT,Sim
EPUT COMMUNITY CARDIOLOGY,Sim
EPUT COMMUNITY NURSING,Sim
EPUT RESPIRATORY,Sim
EREWASH ELECTRONIC REFERRAL MODULE LE,Sim
ESCRICK SURGERY,Sim
ESHER GREEN SURGERY,Sim
ESHT - URGENT TREATMENT CENTRE,Sim
ESKDAILL MEDICAL,Sim
ESP HUB OOH,Sim
ESPLANADE SURGERY,Sim
ESSEX HOUSE SURGERY,Sim
ESSEX LODGE,Sim
ESSEX UNIVERSITY PARTNERSHIP NHS TRUST,Sim
ESSEX WAY SURGERY,Sim
ESSINGTON MEDICAL CENTRE,Sim
EUXTON HALL HOSPITAL,Sim
EVE HILL MEDICAL PRACTICE,Sim
EVELYN MEDICAL CENTRE,Sim
EVENWOOD MEDICAL PRACTICE,Sim
EVEREST HEALTH PARTNERSHIP,Sim
EVEREST HOUSE SURGERY,Sim
EVERGREEN OAK SURGERY,Sim
EVERGREEN PRACTICE,Sim
EVERGREEN PRIMARY CARE CENTRE,Sim
EVERSLEY MEDICAL CENTRE,Sim
EVMC - DVT CLINIC,Sim
EVMC DERMATOLOGY CLINIC,Sim
EVMC GYNAECOLOGY,Sim
EVMC MINOR INJURIES UNIT,Sim
EXCEL PRIMARY CARE,Sim
EXMOOR MEDICAL CENTRE,Sim
EXTENDED ACCESS HUB,Sim
EXTENDED ACCESS PRIMARY CARE HUB,Sim
EXTENDED ACCESS ST PAULS,Sim
EXTENDED HOURS,Sim
EXTENDED HOURS (CURO) HUB,Sim
EXTENDED HOURS SERVICE-TENNANT STREET,Sim
EXTENDED HOURS SERVICE-WOODBRIDGE,Sim
EXTENDED PRIMARY INTEGRATED CARE 24 OOH,Sim
EYAM SURGERY,Sim
EYE 2 EYE OPTICIANS,Sim
EYE HEALTH CENTRE,Sim
EYNSHAM MEDICAL GROUP,Sim
FAB PCN HUB,Sim
FACCINI HOUSE SURGERY,Sim
FAIRBROOK MEDICAL CENTRE,Sim
FAIRFAX GROUP PRACTICE,Sim
FAIRFIELD MEDICAL CENTRE,Sim
FAIRFIELD PARK HEALTH CENTRE,Sim
FAIRFIELD PMS,Sim
FAIRFIELD SURGERY,Sim
FAIRFIELDS PRACTICE,Sim
FAIRHILL MEDICAL PRACTICE,Sim
FAIRLANDS MEDICAL PRACTICE,Sim
FAIRLAWNS HUB,Sim
FAIRMORE MEDICAL PRACTICE,Sim
FAIRVIEW MEDICAL CENTRE,Sim
FAKENHAM MEDICAL PRACTICE,Sim
FALKLAND HOUSE SURGERY,Sim
FALKLAND SURGERY,Sim
FALLODON WAY MEDICAL CENTRE,Sim
FALLOWFIELD MEDICAL CENTRE,Sim
FALMOUTH HEALTH CENTRE,Sim
FALMOUTH ROAD GROUP PRACTICE,Sim
FAMILY DOCTORS,Sim
FAMILY FRIENDLY SURGERY,Sim
FAMILY MEDICAL CENTRE (KIRKBY),Sim
FAMILY MEDICAL CENTRE (SOOD),Sim
FAMILY PRACTICE,Sim
FAMILY PRACTICE GROUP,Sim
FAMILY SURGERY,Sim
FAR LANE MEDICAL CENTRE,Sim
FAREHAM & GOSPORT CCG CONTINENCE SERVICE,Sim
FARLEIGH HOSPICE,Sim
FARMBOROUGH COURT,Sim
FARMHOUSE SURGERY,Sim
FARNHAM DENE MEDICAL PRACTICE,Sim
FARNHAM MEDICAL CTR.,Sim
FARNHAM PARK HEALTH GROUP,Sim
FARNHAM ROAD PRACTICE,Sim
FARNWORTH FAMILY PRACTICE,Sim
FARRIER HOUSE SURGERY,Sim
FARROW MEDICAL CENTRE,Sim
FAVERSHAM MEDICAL PRACTICE,Sim
FAVERSHAM MEDICAL PRACTICE MIU,Sim
FCMS (NW) LTD,Sim
FEARNHEAD CROSS MED.CTR.,Sim
FEATHERSTONE,Sim
FEATHERSTONE MEDICAL CENTRE,Sim
FEATHERSTONE ROAD HEALTH CENTRE,Sim
FEDERATED4HEALTH,Sim
FELDON LANE PRACTICE,Sim
FELIXSTOWE ROAD MEDICAL PRACTICE,Sim
FELL COTTAGE SURGERY,Sim
FELL TOWER MEDICAL CENTRE,Sim
FELLVIEW HEALTHCARE,Sim
FELMORES MEDICAL CENTRE,Sim
FELTWELL SURGERY,Sim
FENCE PIECE ROAD MEDICAL CENTRE,Sim
FENHAM HALL SURGERY,Sim
FENLAND GROUP PRACTICE,Sim
FENNY COMPTON SURGERY,Sim
FERN HOUSE SURGERY,Sim
FERNBANK SURGERY,Sim
FERNCLOUGH SURGERY,Sim
FERNLEA SURGERY,Sim
FERNLEY MEDICAL CENTRE,Sim
FERNVILLE SURGERY,Sim
FERRY ROAD HEALTH CENTRE,Sim
FERRYHILL AND CHILTON MEDICAL PRACTICE,Sim
"FIELD HOUSE SURGERY, BRIDLINGTON",Sim
FIELD ROAD SURGERY,Sim
FIELD STREET SURGERY,Sim
FIELDHEAD SURGERY,Sim
FIELDHOUSE MEDICAL GROUP,Sim
FIG TREE MEDICAL PRACTICE,Sim
FIGGES MARSH SURGERY,Sim
FILEY SURGERY,Sim
FINCH ROAD PRIMARY CARE CENTRE,Sim
FINCHAMPSTEAD PRACTICE,Sim
FINCHLEY WIC,Sim
FINNEY LANE SURGERY,Sim
FIR PARK MEDICAL CENTRE,Sim
FIR TREE,Sim
FIRDALE MEDICAL CENTRE,Sim
FIRECLAY HEALTH,Sim
FIRS HOUSE SURGERY,Sim
FIRS SURGERY,Sim
FIRST 4 HEALTH GROUP - E7 HEALTH,Sim
FIRST CHOICE MEDICAL CARE,Sim
FIRST COMMUNITY HEALTH & CARE,Sim
FIRST CONTACT & PC PATH,Sim
FIRSTCARE PRACTICE,Sim
FIRSWAY HEALTH CENTRE,Sim
FIRTH PARK SURGERY,Sim
FISHERGATE HILL SURGERY,Sim
FISHERMEAD MEDICAL CENTRE,Sim
FISHPONDS FAMILY PRACTICE,Sim
FITZALAN MEDICAL GROUP,Sim
FITZROVIA MEDICAL CENTRE,Sim
FITZWILLIAM HOSPITAL,Sim
FIVE ELMS MEDICAL PRACTICE,Sim
FIVE OAKS FAMILIY PRACTICE,Sim
FIVE VALLEYS MEDICAL PRACTICE,Sim
FIVEWAYS / NORTH LAMBETH AH,Sim
FLANSHAM PARK HEALTH CENTRE,Sim
FLEET MEDICAL CENTRE,Sim
FLEETWOOD SURGERY,Sim
FLEGGBURGH SURGERY,Sim
FLITWICK SURGERY,Sim
FLIXTON ROAD MEDICAL CENTRE,Sim
FLORENCE HOUSE MEDICAL PRACTICE,Sim
FOLKESTONE UTC AND DEAL UTC,Sim
FOLLY LANE MEDICAL CENTRE,Sim
FORD MEDICAL PRACTICE,Sim
FORDBRIDGE MEDICAL CENTRE,Sim
FORDHOUSES MEDICAL CENTRE,Sim
FORDINGBRIDGE SURGERY,Sim
FORDINGTON SURGERY,Sim
FOREST HALL MEDICAL GROUP,Sim
FOREST HEALTH CARE,Sim
FOREST HEALTH GROUP,Sim
FOREST HILL GROUP PRACTICE,Sim
FOREST HOUSE MEDICAL CTR,Sim
FOREST HOUSE SURGERY,Sim
FOREST MEDICAL,Sim
FOREST PRACTICE,Sim
FOREST SURGERY,Sim
FORESTSIDE MEDICAL PRACTICE,Sim
FORGE CLOSE SURGERY,Sim
FORGE HEALTH GROUP,Sim
FORGE MEDICAL PRACTICE,Sim
FORREST MEDICAL CENTRE,Sim
FORRESTER STREET MEDICAL CENTRE,Sim
FORT HOUSE SURGERY,Sim
FORTUNE GREEN ROAD SURGERY,Sim
FORTY WILLOWS SURGERY,Sim
FORUM FAMILY PRACTICE,Sim
FORWARD LEEDS,Sim
FORWARD THINKING BIRMINGHAM,Sim
FOSSE MEDICAL CENTRE (DR H MUKADAM),Sim
FOUNDATIONS,Sim
FOUNDATIONS -HARRIS STREET,Sim
FOUNDRY HEALTHCARE LEWES,Sim
FOUNDRY LANE SURGERY,Sim
FOUNTAIN MEDICAL CENTRE,Sim
FOUNTAIN PRACTICE,Sim
FOUNTAINS MEDICAL PRACTICE,Sim
FOUNTAYNE ROAD HEALTH CENTRE,Sim
FOUR ACRE HEALTH CENTRE,Sim
FOWEY RIVER PRACTICE,Sim
FOWNHOPE MEDICAL CENTRE,Sim
FOXHAYES PRACTICE,Sim
FOXHILL MEDICAL CENTRE,Sim
FOXLEIGH FAMILY SURGERY,Sim
FRAMFIELD HOUSE SURGERY,Sim
FRAMLINGHAM SURGERY,Sim
FRAMPTON SURGERY,Sim
FRANCES STREET MEDICAL CENTRE,Sim
FRANCIS GROVE SURGERY,Sim
FRANCIS ROAD MEDICAL CENTRE,Sim
FRANKLEY HEALTH CENTRE,Sim
FREMINGTON MEDICAL CENTRE,Sim
FRENCH WEIR HEALTH CENTRE,Sim
FRESHNEY PELHAM CARE LIMITED,Sim
FRESSINGFIELD MEDICAL CENTRE,Sim
FREUCHEN MEDICAL CENTRE,Sim
FRIAR GATE SURGERY,Sim
FRIARSGATE PRACTICE,Sim
FRIARWOOD SURGERY,Sim
FRIARY HOUSE SURGERY,Sim
FRIENDS ROAD MEDICAL PRACTICE,Sim
FRIERN BARNET MEDICAL CENTRE,Sim
FRIMLEY - COMMUNITY DERMATOLOGY SERVICE,Sim
FRIMLEY PRIMARY CARE OOH,Sim
FRITHWOOD SURGERY,Sim
FRIZINGHALL MEDICAL CENTRE,Sim
FROME MEDICAL CENTRE,Sim
FROME VALLEY MEDICAL CENTRE,Sim
FRONKS RD FAMILY SURGERY,Sim
FRONT STREET SURGERY,Sim
FRYERNS MEDICAL CENTRE,Sim
FULHAM CROSS MEDICAL CENTRE,Sim
FULLWELL CROSS MED. CTR.,Sim
"FULWELL MEDICAL CENTRE,",Sim
FULWOOD GREEN MEDICAL CTR,Sim
FULWOOD HALL HOSPITAL,Sim
FURLONG MEDICAL CENTRE,Sim
FURNACE GREEN SURGERY,Sim
FUSEHILL MEDICAL PRACTICE,Sim
GABLES SURGERY,Sim
GADE SURGERY,Sim
GAINFORD SURGERY,Sim
GAINSBOROUGH UTC,Sim
GALLERIES MEDICAL PRACTICE,Sim
GALLIONS REACH HEALTH CENTRE,Sim
GANTS HILL MEDICAL CENTRE,Sim
GARDEN CITY MEDICAL CENTRE,Sim
GARDEN LANE MEDICAL CTR.,Sim
GARDENIA PRACTICE,Sim
GARDENS AND JACOBS MEDICAL PARTNERSHIP,Sim
GARFORTH MEDICAL CENTRE,Sim
GARRETTS GREEN LANE SURGERY,Sim
GARSTANG MEDICAL PRACTICE,Sim
GARSTON FAMILY HEALTH CENTRE,Sim
GARSTON MEDICAL CENTRE,Sim
GARSWOOD SURGERY,Sim
GAS HOUSE LANE SURGERY,Sim
GATDOC OOH,Sim
GATE MEDICAL CENTRE,Sim
GATEACRE BROW SURGERY,Sim
GATEACRE MEDICAL CENTRE,Sim
GATESHEAD EXTRA CARE,Sim
GATESHEAD HEALTH COMMUNITY SERVICES,Sim
GATESHEAD RECOVERY PARTNERSHIP-CGL,Sim
GATEWAY PRIMARY CARE,Sim
GATLEY MEDICAL CENTRE,Sim
GENERAL SURGERY-MERTON CCG,Sim
GEORGE CLARE SURGERY,Sim
GEORGE ELIOT MEDICAL CENTRE,Sim
GH LOCALA COMMUNITY SERVICES,Sim
GHAURI PRACTICE,Sim
GIBSON LANE PRACTICE,Sim
GIFFARD DRIVE SURGERY,Sim
GIFFORDS PRIMARY CARE CTR,Sim
GILBERDYKE HEALTH CENTRE,Sim
GILDERSOME HEALTH CENTRE,Sim
GILL MEDICAL PRACTICE,Sim
GILLAN HOUSE SURGERY,Sim
GILLINGHAM MEDICAL PRACTICE,Sim
GILLMANS ROAD SURGERY,Sim
GILLMOSS MEDICAL CENTRE,Sim
GILTBROOK SURGERY,Sim
GLADSTONE HOUSE SURGERY,Sim
GLADSTONE MED CTR,Sim
GLADSTONE MEDICAL CENTRE,Sim
GLADSTONE ROAD SURGERY,Sim
GLASTONBURY HEALTH CENTRE,Sim
GLASTONBURY SURGERY,Sim
GLEADLESS MEDICAL CENTRE,Sim
GLEBE HOUSE SURGERY,Sim
GLEBE PARK SURGERY,Sim
GLEBE ROAD SURGERY,Sim
GLEBE STREET SURGERY,Sim
GLEBE SURGERY,Sim
GLEBEDALE MEDICAL PRACTICE,Sim
GLEBEFIELDS SURGERY,Sim
GLEBELANDS PRACTICE,Sim
GLEMSFORD SURGERY,Sim
GLEN ROAD MEDICAL CENTRE,Sim
GLENDALE MEDICAL CENTRE,Sim
GLENLYN MEDICAL CENTRE,Sim
GLENPARK MEDICAL CENTRE,Sim
GLENRIDDING HEALTH CENTRE,Sim
GLENROYD MEDICAL CENTRE,Sim
GLOUCESTER (CARE UK) OOH,Sim
GLOUCESTER CITY LOCALITY N. PRESCRIBER,Sim
GLOUCESTER HEALTH ACCESS CENTRE,Sim
GLOUCESTER ROAD MEDICAL CENTRE,Sim
GLOUCESTER ROAD SURGERY,Sim
GLOUCESTERSHIRE DRUG & ALCOHOL RECOVERY,Sim
GLOVERS LANE SURGERY,Sim
GLYNDON PMS,Sim
GNOSALL,Sim
GODIVA GROUP PRACTICE,Sim
GOLBORNE SURGERY,Sim
GOLDEN VALLEY PRACTICE,Sim
GOLDENHILL MEDICAL CENTRE,Sim
GOLDINGTON AVENUE SURGERY,Sim
GOLDINGTON ROAD SURGERY,Sim
GOLDSWORTH PARK HEALTH CENTRE,Sim
GOLDSWORTH PARK HEALTH CT,Sim
GOLDTHORPE MEDICAL CENTRE PMS PRACTICE,Sim
GOODCARE PRACTICE,Sim
GOODHEART SURGERY,Sim
GOODMAN'S FIELD HEALTH CENTRE,Sim
GOODMAYES MEDICAL CENTRE,Sim
GOOLE OOH,Sim
GORDON HOUSE SURGERY,Sim
GORDON STREET MEDICAL CENTRE,Sim
GORDON STREET SURGERY,Sim
GORING & WOODCOTE MEDICAL PRACTICE,Sim
GORTON MEDICAL CENTRE,Sim
GORTON PARKS INTERMEDIATE CARE UNIT,Sim
GOSBERTON MEDICAL CENTRE,Sim
GOSFORD HILL MEDICAL CENTRE,Sim
GOSFORTH MEMORIAL MED.CTR,Sim
GOSPORT MEDICAL CENTRE,Sim
GOSSOMS END SURGERY,Sim
GOSSOPS GREEN MEDICAL CTR,Sim
GOUGH WALK PRACTICE,Sim
GOVIND HEALTH CENTRE,Sim
GOWER STREET PRACTICE,Sim
GOYT VALLEY MEDICAL PRACTICE,Sim
GP ACCESS SERVICE,Sim
GP APH OOH,Sim
GP AT HAND,Sim
GP CARE COMMUNITY UROLOGY SERVICE - GLOS,Sim
GP CARE DVT SERVICE,Sim
GP CARE WAKEFIELD OOH,Sim
GP COLLABORATIVE OOH,Sim
GP CONNECT EXTENDED HOURS SERVICE,Sim
GP DIRECT,Sim
GP EXTENDED ACCESS HUB SERVICE,Sim
GP EXTENDED HOURS SERVICE 2,Sim
GP HEALTHCARE ALLIANCE - ASHINGDON,Sim
GP HUBS - GP HEALTH PARTNERS LTD,Sim
GP LED DERMATOLOGY SERVICE,Sim
GP LED HEALTH CENTRE,Sim
GP OOH VCH,Sim
GP OUT OF HOURS BASE SERVICE OOH,Sim
GP PRACTICE RIVERSIDE (DR JUDE),Sim
GP SERVICES - GP HUBS,Sim
GP SERVICES - HORSHAM AND MID SUSSEX HUB,Sim
GP STREAMING,Sim
GPS HEALTHCARE,Sim
GPSI DERMATOLOGY SERVICE BUCKDEN HUNTS,Sim
GPWSI DERMATOLOGY CLINIC,Sim
GRAFTON MEDICAL PARTNERS,Sim
GRAFTON ROAD SURGERY,Sim
GRAFTON SQUARE SURGERY,Sim
GRAHAM ROAD SURGERY,Sim
GRAND DRIVE SURGERY,Sim
GRAND UNION HEALTH CENTRE,Sim
GRANGE FARM MEDICAL CENTRE,Sim
GRANGE MEDICAL CENTRE,Sim
GRANGE PARK SURGERY,Sim
GRANGE ROAD MEDICAL PRACTICE,Sim
GRANGE ROAD SURGERY,Sim
GRANGE STREET SURGERY,Sim
GRANGE SURGERY,Sim
GRANGEWOOD SURGERY,Sim
GRANTA MEDICAL PRACTICES,Sim
GRANTHAM ADDACTION,Sim
GRANTHAM EXTENDED ACCESS K2,Sim
GRANTHAM OOHS,Sim
GRANVILLE HOUSE MED CTRE,Sim
GRANVILLE MEDICAL CENTRE,Sim
GRASMERE SURGERY,Sim
GRASSENDALE MEDICAL CENTRE,Sim
GRATTON SURGERY,Sim
GRAVEL HILL SURGERY,Sim
GRAVESEND MEDICAL CENTRE,Sim
GRAY'S INN ROAD MEDICAL CENTRE,Sim
GRAYSHOTT SURGERY,Sim
GREASBROUGH MEDICAL CENTRE,Sim
GREASBY GROUP PRACTICE,Sim
GREAT AYTON SURGERY,Sim
GREAT BARFORD SURGERY,Sim
GREAT BARR PRACTICE,Sim
GREAT BENTLEY SURGERY,Sim
GREAT BRIDGE HEALTH CENTRE,Sim
